"",BBK01.OECB12M,BBK01.OECB12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:40,
2002-01,2.438,
2002-04,2.409,
2002-07,2.385,
2002-10,2.418,
2003-01,2.290,
2003-04,2.241,
2003-07,2.195,
2003-10,2.108,
2004-01,2.041,
2004-04,1.961,
2004-07,1.962,
2004-10,2.111,
2005-01,2.260,
2005-04,2.152,
2005-07,2.076,
2005-10,2.043,
2006-01,2.004,
2006-04,1.951,
2006-07,1.942,
2006-10,1.852,
2007-01,1.797,
2007-04,1.809,
2007-07,1.770,
2007-10,1.742,
2008-01,1.761,
2008-04,1.788,
2008-07,1.822,
2008-10,1.877,
2009-01,1.883,
2009-04,2.002,
2009-07,1.988,
2009-10,2.118,
2010-01,2.148,
2010-04,2.162,
2010-07,2.204,
2010-10,2.207,
2011-01,2.192,
2011-04,2.208,
2011-07,2.204,
2011-10,2.173,
2012-01,2.176,
2012-04,2.085,
2012-07,2.044,
2012-10,2.013,
2013-01,2.009,
2013-04,1.942,
2013-07,1.958,
2013-10,1.965,
2014-01,1.894,
2014-04,1.942,
2014-07,1.957,
