"",BBK01.OEXJ04H,BBK01.OEXJ04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:41,
2002-01,1.614,
2002-04,1.577,
2002-07,1.844,
2002-10,1.801,
2003-01,1.420,
2003-04,1.566,
2003-07,1.352,
2003-10,1.757,
2004-01,1.341,
2004-04,1.155,
2004-07,1.375,
2004-10,1.813,
2005-01,1.695,
2005-04,1.695,
2005-07,1.941,
2005-10,2.727,
2006-01,2.201,
2006-04,1.939,
2006-07,2.015,
2006-10,2.083,
2007-01,1.936,
2007-04,1.914,
2007-07,2.222,
2007-10,2.202,
2008-01,1.909,
2008-04,2.111,
2008-07,2.352,
2008-10,2.453,
2009-01,2.163,
2009-04,2.050,
2009-07,1.944,
2009-10,2.180,
2010-01,1.636,
2010-04,1.574,
2010-07,1.994,
2010-10,2.175,
2011-01,1.904,
2011-04,2.118,
2011-07,5.893,
2011-10,4.300,
2012-01,3.460,
2012-04,3.219,
2012-07,3.204,
2012-10,4.341,
2013-01,3.838,
2013-04,2.573,
2013-07,2.561,
2013-10,2.713,
2014-01,2.679,
2014-04,2.761,
2014-07,2.817,
