"",BBK01.OECB12Q,BBK01.OECB12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:29,
2002-01,2.213,
2002-04,2.266,
2002-07,2.316,
2002-10,2.379,
2003-01,2.365,
2003-04,2.379,
2003-07,2.539,
2003-10,2.577,
2004-01,2.551,
2004-04,2.615,
2004-07,2.529,
2004-10,3.035,
2005-01,3.092,
2005-04,2.961,
2005-07,2.852,
2005-10,2.737,
2006-01,2.640,
2006-04,2.609,
2006-07,2.530,
2006-10,2.632,
2007-01,2.498,
2007-04,2.342,
2007-07,2.285,
2007-10,2.256,
2008-01,2.172,
2008-04,2.173,
2008-07,2.083,
2008-10,2.108,
2009-01,2.050,
2009-04,2.172,
2009-07,2.086,
2009-10,2.255,
2010-01,2.166,
2010-04,2.120,
2010-07,2.058,
2010-10,2.031,
2011-01,1.968,
2011-04,1.991,
2011-07,1.923,
2011-10,1.966,
2012-01,1.894,
2012-04,1.870,
2012-07,1.899,
2012-10,1.895,
2013-01,1.870,
2013-04,1.879,
2013-07,1.820,
2013-10,1.827,
2014-01,1.838,
2014-04,1.853,
2014-07,1.849,
