"",BBDA1.M.DE.N.IM.S.A.U2.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.U2.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Aggregate / all goods / Euro area (Member States and Institutions of the Euro Area) changing composition / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:04,
1993-01,10450874,
1993-02,11479550,
1993-03,12027981,
1993-04,11692758,
1993-05,11233967,
1993-06,11267389,
1993-07,11113510,
1993-08,9924812,
1993-09,11210109,
1993-10,11321880,
1993-11,11751188,
1993-12,11818799,
1994-01,10066036,
1994-02,11146451,
1994-03,13031064,
1994-04,12305402,
1994-05,12784458,
1994-06,12607390,
1994-07,12134667,
1994-08,10586114,
1994-09,12668870,
1994-10,12810516,
1994-11,12493022,
1994-12,13620914,
1995-01,12222420,
1995-02,13060238,
1995-03,14972601,
1995-04,13047205,
1995-05,13675305,
1995-06,14373539,
1995-07,13213528,
1995-08,11330422,
1995-09,13428605,
1995-10,13768520,
1995-11,13144719,
1995-12,13761407,
1996-01,14349728,
1996-02,12803153,
1996-03,14352826,
1996-04,14186579,
1996-05,13154524,
1996-06,13926914,
1996-07,14055203,
1996-08,11449547,
1996-09,12901908,
1996-10,15016944,
1996-11,13996956,
1996-12,14344438,
1997-01,13423390,
1997-02,14586598,
1997-03,14800382,
1997-04,14318077,
1997-05,15101406,
1997-06,15908532,
1997-07,15818590,
1997-08,13420815,
1997-09,14450630,
1997-10,16338637,
1997-11,15872912,
1997-12,15181097,
1998-01,16291272,
1998-02,15434294,
1998-03,15952266,
1998-04,17856601,
1998-05,15378267,
1998-06,17225042,
1998-07,17039314,
1998-08,13941381,
1998-09,14851676,
1998-10,16723554,
1998-11,15908582,
1998-12,16142994,
1999-01,14721556,
1999-02,15506994,
1999-03,17335664,
1999-04,16296465,
1999-05,17069082,
1999-06,17573528,
1999-07,16726359,
1999-08,16410612,
1999-09,15689420,
1999-10,17193737,
1999-11,18220467,
1999-12,16854209,
2000-01,16691771,
2000-02,16499060,
2000-03,19495567,
2000-04,17164864,
2000-05,19928737,
2000-06,17978034,
2000-07,18481276,
2000-08,18147200,
2000-09,17791328,
2000-10,20857994,
2000-11,21727642,
2000-12,20419078,
2001-01,18567887,
2001-02,19220282,
2001-03,19272669,
2001-04,20250092,
2001-05,20281080,
2001-06,20081132,
2001-07,19763661,
2001-08,17377205,
2001-09,18000554,
2001-10,20024935,
2001-11,19883567,
2001-12,17102729,
2002-01,16705309,
2002-02,18169643,
2002-03,17695765,
2002-04,19049842,
2002-05,16768721,
2002-06,19788169,
2002-07,18605728,
2002-08,17082137,
2002-09,18789635,
2002-10,19607112,
2002-11,19494444,
2002-12,18726697,
2003-01,17736411,
2003-02,18434692,
2003-03,19924211,
2003-04,19090163,
2003-05,18852948,
2003-06,18994974,
2003-07,19207723,
2003-08,16230243,
2003-09,18976216,
2003-10,19920441,
2003-11,20988124,
2003-12,18516621,
2004-01,18223932,
2004-02,19160088,
2004-03,20574723,
2004-04,19452690,
2004-05,20252238,
2004-06,20343501,
2004-07,20936730,
2004-08,18446568,
2004-09,20349099,
2004-10,21030069,
2004-11,22512856,
2004-12,20401266,
2005-01,19109072,
2005-02,19383431,
2005-03,21068284,
2005-04,21428742,
2005-05,21659191,
2005-06,21678336,
2005-07,21036081,
2005-08,19863429,
2005-09,21931102,
2005-10,22892851,
2005-11,23834365,
2005-12,22799186,
2006-01,21656222,
2006-02,22715945,
2006-03,25229290,
2006-04,23793430,
2006-05,24012135,
2006-06,25162764,
2006-07,23890729,
2006-08,21990176,
2006-09,25632280,
2006-10,27442538,
2006-11,27555811,
2006-12,24906352,
2007-01,23903982,
2007-02,24859254,
2007-03,26552639,
2007-04,25670960,
2007-05,25143707,
2007-06,26790571,
2007-07,25686279,
2007-08,24372535,
2007-09,25107765,
2007-10,28303033,
2007-11,27347085,
2007-12,24331082,
2008-01,25907559,
2008-02,26830205,
2008-03,26432592,
2008-04,27855037,
2008-05,26361145,
2008-06,26988192,
2008-07,28469309,
2008-08,24024333,
2008-09,27888689,
2008-10,28515555,
2008-11,24460008,
2008-12,22152445,
2009-01,21544244,
2009-02,21645099,
2009-03,23516307,
2009-04,21786040,
2009-05,19853013,
2009-06,21054243,
2009-07,21438459,
2009-08,19279342,
2009-09,22364390,
2009-10,23870494,
2009-11,21689347,
2009-12,21077194,
2010-01,20887062,
2010-02,22602846,
2010-03,26192278,
2010-04,23946462,
2010-05,25010885,
2010-06,26961947,
2010-07,26444137,
2010-08,22916657,
2010-09,25762257,
2010-10,26993226,
2010-11,26977847,
2010-12,26020209,
2011-01,25068328,
2011-02,27481465,
2011-03,31118897,
2011-04,27930315,
2011-05,29657977,
2011-06,30204971,
2011-07,27725277,
2011-08,25959157,
2011-09,29297011,
2011-10,28689262,
2011-11,28923931,
2011-12,26931156,
2012-01,26503945,
2012-02,28521635,
2012-03,31165979,
2012-04,27647795,
2012-05,29445329,
2012-06,28997233,
2012-07,28967060,
2012-08,26325047,
2012-09,27443207,
2012-10,30008944,
2012-11,29252898,
2012-12,24793347,
2013-01,27299586,
