"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:28,
1971-12,7.851,
1972-01,7.903,
1972-02,8.303,
1972-03,8.528,
1972-04,8.674,
1972-05,8.779,
1972-06,8.764,
1972-07,8.617,
1972-08,8.666,
1972-09,8.693,
1972-10,8.661,
1972-11,8.851,
1972-12,8.783,
1973-01,8.816,
1973-02,8.882,
1973-03,8.845,
1973-04,8.865,
1973-05,8.917,
1973-06,8.882,
1973-07,8.898,
1973-08,8.982,
1973-09,8.967,
1973-10,9.059,
1973-11,9.126,
1973-12,9.099,
1974-01,9.149,
1974-02,9.193,
1974-03,9.234,
1974-04,9.394,
1974-05,9.379,
1974-06,9.338,
1974-07,9.378,
1974-08,9.416,
1974-09,9.444,
1974-10,9.648,
1974-11,9.682,
1974-12,9.566,
1975-01,9.924,
1975-02,10.015,
1975-03,10.142,
1975-04,10.209,
1975-05,10.136,
1975-06,10.057,
1975-07,10.233,
1975-08,10.256,
1975-09,10.138,
1975-10,10.125,
1975-11,10.010,
1975-12,9.973,
1976-01,10.213,
1976-02,10.228,
1976-03,10.284,
1976-04,10.275,
1976-05,10.247,
1976-06,10.289,
1976-07,10.337,
1976-08,10.530,
1976-09,10.530,
1976-10,10.271,
1976-11,10.212,
1976-12,10.195,
1977-01,10.333,
1977-02,10.344,
1977-03,10.589,
1977-04,10.547,
1977-05,10.536,
1977-06,10.713,
1977-07,10.788,
1977-08,10.849,
1977-09,10.781,
1977-10,10.823,
1977-11,10.847,
1977-12,10.908,
1978-01,10.966,
1978-02,11.072,
1978-03,11.083,
1978-04,11.079,
1978-05,10.988,
1978-06,11.008,
1978-07,11.164,
1978-08,11.233,
1978-09,11.335,
1978-10,11.342,
1978-11,11.145,
1978-12,11.386,
1979-01,11.427,
1979-02,11.542,
1979-03,11.441,
1979-04,11.570,
1979-05,11.729,
1979-06,11.708,
1979-07,11.834,
1979-08,11.980,
1979-09,12.042,
1979-10,11.952,
1979-11,11.981,
1979-12,11.981,
1980-01,12.107,
1980-02,12.247,
1980-03,12.199,
1980-04,12.230,
1980-05,12.350,
1980-06,12.408,
1980-07,12.537,
1980-08,12.405,
1980-09,12.658,
1980-10,13.033,
1980-11,13.367,
1980-12,13.900,
1981-01,14.280,
1981-02,14.113,
1981-03,14.279,
1981-04,14.482,
1981-05,14.743,
1981-06,15.693,
1981-07,15.941,
1981-08,16.394,
1981-09,16.523,
1981-10,17.020,
1981-11,16.685,
1981-12,17.164,
1982-01,17.378,
1982-02,17.629,
1982-03,17.722,
1982-04,17.888,
1982-05,17.850,
1982-06,18.037,
1982-07,18.277,
1982-08,18.495,
1982-09,18.329,
1982-10,18.199,
1982-11,18.408,
1982-12,18.611,
1983-01,18.515,
1983-02,18.522,
1983-03,18.680,
1983-04,18.633,
1983-05,19.011,
1983-06,19.228,
1983-07,19.500,
1983-08,19.575,
1983-09,19.613,
1983-10,19.459,
1983-11,19.485,
1983-12,19.844,
1984-01,19.982,
1984-02,20.140,
1984-03,20.205,
1984-04,20.078,
1984-05,20.086,
1984-06,19.666,
1984-07,19.774,
1984-08,19.879,
1984-09,19.986,
1984-10,19.789,
1984-11,19.837,
1984-12,19.677,
1985-01,19.841,
1985-02,20.505,
1985-03,20.595,
1985-04,20.537,
1985-05,20.244,
1985-06,20.247,
1985-07,20.181,
1985-08,20.199,
1985-09,20.116,
1985-10,20.122,
1985-11,20.180,
1985-12,19.629,
1986-01,19.728,
1986-02,19.823,
1986-03,19.998,
1986-04,20.411,
1986-05,20.481,
1986-06,20.657,
1986-07,20.887,
1986-08,21.182,
1986-09,20.991,
1986-10,21.065,
1986-11,20.867,
1986-12,20.442,
1987-01,21.185,
1987-02,21.446,
1987-03,21.966,
1987-04,22.018,
1987-05,22.044,
1987-06,22.483,
1987-07,22.647,
1987-08,22.632,
1987-09,22.667,
1987-10,22.626,
1987-11,22.742,
1987-12,22.789,
1988-01,22.912,
1988-02,23.062,
1988-03,23.334,
1988-04,24.205,
1988-05,24.555,
1988-06,25.368,
1988-07,25.485,
1988-08,25.572,
1988-09,25.604,
1988-10,25.480,
1988-11,25.697,
1988-12,26.422,
1989-01,26.967,
1989-02,26.830,
1989-03,26.838,
1989-04,28.154,
1989-05,28.205,
1989-06,28.328,
1989-07,28.489,
1989-08,28.647,
1989-09,28.159,
1989-10,28.230,
1989-11,28.263,
1989-12,28.306,
1990-01,29.458,
1990-02,29.207,
1990-03,29.662,
1990-04,30.377,
1990-05,30.776,
1990-06,31.206,
1990-07,32.134,
1990-08,31.828,
1990-09,31.941,
1990-10,31.778,
1990-11,32.054,
1990-12,31.655,
1991-01,31.731,
1991-02,32.744,
1991-03,33.119,
1991-04,33.480,
1991-05,33.692,
1991-06,34.069,
1991-07,34.553,
1991-08,34.523,
1991-09,34.380,
1991-10,34.605,
1991-11,34.971,
1991-12,35.437,
1992-01,36.275,
1992-02,36.318,
1992-03,36.826,
1992-04,37.322,
1992-05,37.404,
1992-06,38.122,
1992-07,38.259,
1992-08,38.499,
1992-09,39.118,
1992-10,39.647,
1992-11,40.345,
1992-12,41.270,
1993-01,41.851,
1993-02,43.563,
1993-03,43.705,
1993-04,43.912,
1993-05,44.678,
1993-06,44.883,
1993-07,45.277,
1993-08,45.553,
1993-09,45.108,
1993-10,44.734,
1993-11,45.143,
1993-12,45.825,
1994-01,46.215,
1994-02,46.532,
1994-03,47.480,
1994-04,47.690,
1994-05,48.284,
1994-06,48.294,
1994-07,49.412,
1994-08,50.265,
1994-09,50.145,
1994-10,49.018,
1994-11,49.133,
1994-12,50.415,
1995-01,46.286,
1995-02,45.772,
1995-03,45.808,
1995-04,46.069,
1995-05,46.380,
1995-06,47.081,
1995-07,48.107,
1995-08,48.382,
1995-09,49.220,
1995-10,50.433,
1995-11,50.960,
1995-12,49.460,
1996-01,49.191,
1996-02,49.429,
1996-03,49.114,
1996-04,49.464,
1996-05,49.434,
1996-06,49.168,
1996-07,49.697,
1996-08,49.796,
1996-09,50.511,
1996-10,50.522,
1996-11,50.454,
1996-12,49.864,
1997-01,50.823,
1997-02,51.280,
1997-03,51.454,
1997-04,51.267,
1997-05,51.011,
1997-06,50.974,
1997-07,52.445,
1997-08,53.134,
1997-09,54.051,
1997-10,54.017,
1997-11,54.174,
1997-12,55.130,
1998-01,56.281,
1998-02,58.347,
1998-03,59.070,
1998-04,60.076,
1998-05,60.611,
1998-06,63.402,
1998-07,65.419,
1998-08,65.925,
1998-09,66.536,
1998-10,68.467,
1998-11,67.425,
1998-12,72.480,
1999-01,74.095,
1999-02,74.602,
1999-03,74.742,
1999-04,75.398,
1999-05,79.811,
1999-06,80.728,
1999-07,85.872,
1999-08,87.770,
1999-09,90.431,
1999-10,95.059,
1999-11,96.216,
1999-12,98.092,
2000-01,103.686,
2000-02,103.892,
2000-03,104.139,
2000-04,104.429,
2000-05,106.297,
2000-06,108.565,
2000-07,124.951,
2000-08,124.839,
2000-09,127.692,
2000-10,128.232,
2000-11,131.030,
2000-12,172.477,
2001-01,176.909,
2001-02,180.672,
2001-03,182.472,
2001-04,186.814,
2001-05,189.165,
2001-06,190.740,
2001-07,200.748,
2001-08,209.570,
2001-09,214.596,
2001-10,217.045,
2001-11,221.513,
2001-12,222.762,
2002-01,235.582,
2002-02,238.716,
2002-03,228.543,
2002-04,240.892,
2002-05,261.881,
2002-06,257.687,
2002-07,260.824,
2002-08,263.028,
2002-09,265.492,
2002-10,269.330,
2002-11,274.920,
2002-12,275.862,
2003-01,274.894,
2003-02,278.661,
2003-03,274.251,
2003-04,278.710,
2003-05,279.796,
2003-06,284.530,
2003-07,286.156,
2003-08,289.679,
2003-09,290.496,
2003-10,290.130,
2003-11,290.843,
2003-12,273.067,
2004-01,271.263,
2004-02,248.633,
2004-03,247.744,
2004-04,250.811,
2004-05,253.815,
2004-06,257.378,
2004-07,255.830,
2004-08,254.858,
2004-09,252.221,
2004-10,247.040,
2004-11,242.026,
2004-12,239.939,
2005-01,243.771,
2005-02,248.747,
2005-03,248.567,
2005-04,248.546,
2005-05,251.217,
2005-06,250.665,
2005-07,246.928,
2005-08,247.128,
2005-09,249.886,
2005-10,254.083,
2005-11,255.556,
2005-12,254.858,
2006-01,260.167,
2006-02,264.423,
2006-03,268.145,
2006-04,268.835,
2006-05,270.265,
2006-06,277.672,
2006-07,279.755,
2006-08,280.109,
2006-09,279.208,
2006-10,280.283,
2006-11,284.593,
2006-12,284.452,
2007-01,285.474,
2007-02,282.551,
2007-03,282.261,
2007-04,285.021,
2007-05,283.766,
2007-06,283.975,
2007-07,284.172,
2007-08,288.698,
2007-09,288.468,
2007-10,291.468,
2007-11,288.502,
2007-12,283.573,
2008-01,288.834,
2008-02,296.363,
2008-03,299.679,
2008-04,306.258,
2008-05,311.653,
2008-06,309.129,
2008-07,310.468,
2008-08,313.181,
2008-09,319.808,
2008-10,324.949,
2008-11,329.296,
2008-12,332.034,
2009-01,343.446,
2009-02,355.540,
2009-03,350.940,
2009-04,354.684,
2009-05,360.361,
2009-06,360.824,
2009-07,366.285,
2009-08,372.810,
2009-09,369.413,
2009-10,368.871,
2009-11,369.504,
2009-12,371.350,
2010-01,372.348,
2010-02,372.977,
2010-03,379.015,
2010-04,381.522,
2010-05,385.941,
2010-06,386.475,
2010-07,392.313,
2010-08,392.345,
2010-09,391.067,
2010-10,389.117,
2010-11,391.549,
2010-12,403.803,
2011-01,403.155,
2011-02,400.681,
2011-03,404.937,
2011-04,403.647,
2011-05,407.424,
2011-06,404.709,
2011-07,408.234,
2011-08,408.495,
2011-09,406.001,
2011-10,405.724,
2011-11,401.153,
2011-12,401.070,
2012-01,402.505,
2012-02,402.956,
2012-03,406.620,
2012-04,412.725,
2012-05,411.403,
2012-06,415.276,
2012-07,414.546,
2012-08,419.753,
2012-09,416.803,
2012-10,413.803,
2012-11,418.159,
2012-12,414.614,
2013-01,418.393,
2013-02,416.161,
2013-03,422.542,
2013-04,436.167,
2013-05,435.589,
2013-06,432.916,
2013-07,429.100,
2013-08,427.376,
2013-09,434.345,
2013-10,441.494,
2013-11,437.796,
2013-12,435.592,
2014-01,433.094,
2014-02,434.452,
2014-03,437.411,
2014-04,438.342,
2014-05,441.896,
2014-06,446.504,
2014-07,446.353,
2014-08,446.091,
2014-09,444.255,
2014-10,444.964,
2014-11,447.164,
2014-12,443.540,
