"",BBK01.OEGL09I,BBK01.OEGL09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:19,
2002-01,0.188,
2002-04,0.187,
2002-07,0.184,
2002-10,0.180,
2003-01,0.165,
2003-04,0.162,
2003-07,0.207,
2003-10,0.208,
2004-01,0.183,
2004-04,0.179,
2004-07,0.174,
2004-10,0.174,
2005-01,0.154,
2005-04,0.150,
2005-07,0.146,
2005-10,0.144,
2006-01,0.131,
2006-04,0.127,
2006-07,0.123,
2006-10,0.094,
2007-01,0.085,
2007-04,0.083,
2007-07,0.080,
2007-10,0.079,
2008-01,0.069,
2008-04,0.066,
2008-07,0.063,
2008-10,0.062,
2009-01,0.056,
2009-04,0.311,
2009-07,0.406,
2009-10,0.479,
2010-01,1.038,
2010-04,1.144,
2010-07,1.217,
2010-10,1.468,
2011-01,1.670,
2011-04,1.657,
2011-07,1.688,
2011-10,1.881,
2012-01,2.117,
2012-04,2.221,
2012-07,2.210,
2012-10,2.374,
2013-01,2.441,
2013-04,2.478,
2013-07,2.539,
2013-10,2.584,
2014-01,2.634,
2014-04,2.664,
2014-07,2.671,
