"",BBK01.OELI01J,BBK01.OELI01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:27,
2002-01,1.531,
2002-04,1.524,
2002-07,1.522,
2002-10,1.559,
2003-01,1.574,
2003-04,1.542,
2003-07,1.553,
2003-10,1.583,
2004-01,1.593,
2004-04,1.580,
2004-07,1.573,
2004-10,1.654,
2005-01,1.694,
2005-04,1.626,
2005-07,1.630,
2005-10,1.667,
2006-01,1.725,
2006-04,1.737,
2006-07,1.739,
2006-10,1.734,
2007-01,1.729,
2007-04,1.744,
2007-07,1.767,
2007-10,1.813,
2008-01,1.832,
2008-04,1.851,
2008-07,1.801,
2008-10,1.880,
2009-01,1.839,
2009-04,1.833,
2009-07,1.803,
2009-10,1.872,
2010-01,1.905,
2010-04,1.937,
2010-07,1.936,
2010-10,2.010,
2011-01,1.952,
2011-04,1.965,
2011-07,1.954,
2011-10,2.024,
2012-01,1.990,
2012-04,2.075,
2012-07,2.112,
2012-10,2.149,
2013-01,2.173,
2013-04,2.176,
2013-07,2.194,
2013-10,2.214,
2014-01,1.940,
2014-04,1.987,
2014-07,2.008,
