"",BBK01.OEAH61J,BBK01.OEAH61J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:15,
2002-01,0.525,
2002-04,0.529,
2002-07,0.523,
2002-10,0.548,
2003-01,0.553,
2003-04,0.547,
2003-07,0.540,
2003-10,0.576,
2004-01,0.575,
2004-04,0.581,
2004-07,0.562,
2004-10,0.549,
2005-01,0.662,
2005-04,0.690,
2005-07,0.721,
2005-10,0.711,
2006-01,0.725,
2006-04,0.711,
2006-07,0.741,
2006-10,0.767,
2007-01,0.763,
2007-04,0.783,
2007-07,0.790,
2007-10,0.832,
2008-01,0.696,
2008-04,0.677,
2008-07,0.718,
2008-10,0.742,
2009-01,0.775,
2009-04,0.796,
2009-07,0.821,
2009-10,0.803,
2010-01,0.801,
2010-04,0.779,
2010-07,0.774,
2010-10,0.808,
2011-01,0.834,
2011-04,0.862,
2011-07,0.854,
2011-10,0.892,
2012-01,0.900,
2012-04,0.813,
2012-07,0.793,
2012-10,0.785,
2013-01,0.754,
2013-04,0.730,
2013-07,0.685,
2013-10,0.699,
2014-01,0.670,
2014-04,0.645,
2014-07,0.204,
