"",BBK01.PQ0834,BBK01.PQ0834_FLAGS
"",Other loans to domestic employees  and other individuals / Short-term / Commercial banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:26:42,
1968-10,1.558,
1969-01,1.603,
1969-04,1.683,
1969-07,1.722,
1969-10,1.905,
1970-01,1.889,
1970-04,1.857,
1970-07,1.894,
1970-10,2.012,
1971-01,2.068,
1971-04,2.187,
1971-07,2.343,
1971-10,2.562,
1972-01,2.702,
1972-04,2.927,
1972-07,3.129,
1972-10,3.427,
1973-01,3.463,
1973-04,3.457,
1973-07,3.362,
1973-10,3.326,
1974-01,3.242,
1974-04,3.241,
1974-07,3.058,
1974-10,3.025,
1975-01,2.939,
1975-04,2.872,
1975-07,2.893,
1975-10,3.006,
1976-01,2.970,
1976-04,3.062,
1976-07,3.119,
1976-10,3.351,
1977-01,3.212,
1977-04,3.422,
1977-07,3.503,
1977-10,3.727,
1978-01,3.788,
1978-04,3.920,
1978-07,4.086,
1978-10,4.122,
1979-01,3.999,
1979-04,4.243,
1979-07,4.447,
1979-10,4.551,
1980-01,4.464,
1980-04,4.702,
1980-07,4.727,
1980-10,4.970,
1981-01,4.923,
1981-04,4.841,
1981-07,4.890,
1981-10,5.216,
1982-01,5.287,
1982-04,5.357,
1982-07,5.579,
1982-10,5.804,
1983-01,5.931,
1983-04,6.121,
1983-07,6.268,
1983-10,6.590,
1984-01,6.568,
1984-04,6.824,
1984-07,7.033,
1984-10,7.254,
1985-01,7.136,
1985-04,7.136,
1985-07,7.406,
1985-10,8.289,
1986-01,8.144,
1986-04,8.615,
1986-07,8.461,
1986-10,10.045,
1987-01,9.532,
1987-04,9.371,
1987-07,9.821,
1987-10,9.690,
1988-01,9.514,
1988-04,9.387,
1988-07,9.417,
1988-10,9.354,
1989-01,9.327,
1989-04,9.472,
1989-07,9.639,
1989-10,9.899,
1990-01,9.929,
1990-04,10.300,
1990-07,10.590,
1990-10,11.069,
1991-01,10.697,
1991-04,10.467,
1991-07,10.711,
1991-10,11.142,
1992-01,11.041,
1992-04,11.283,
1992-07,11.302,
1992-10,11.498,
1993-01,11.073,
1993-04,10.932,
1993-07,10.739,
1993-10,11.178,
1994-01,10.439,
1994-04,10.385,
1994-07,10.744,
1994-10,11.676,
1995-01,11.084,
1995-04,11.176,
1995-07,10.932,
1995-10,11.768,
1996-01,10.904,
1996-04,10.756,
1996-07,11.131,
1996-10,13.081,
1997-01,11.861,
1997-04,12.178,
1997-07,12.091,
1997-10,12.944,
1998-01,12.230,
1998-04,13.413,
1998-07,13.759,
1998-10,15.795,
1999-01,15.185,
1999-04,15.526,
1999-07,15.709,
1999-10,17.122,
2000-01,17.726,
2000-04,18.031,
2000-07,18.154,
2000-10,18.432,
2001-01,17.249,
2001-04,17.363,
2001-07,16.917,
2001-10,16.987,
2002-01,16.175,
2002-04,15.978,
2002-07,16.234,
2002-10,15.651,
2003-01,15.038,
2003-04,15.155,
2003-07,14.761,
2003-10,14.499,
2004-01,13.777,
2004-04,13.792,
2004-07,14.195,
2004-10,14.504,
2005-01,13.684,
2005-04,13.899,
2005-07,13.353,
2005-10,13.349,
2006-01,13.165,
2006-04,13.171,
2006-07,13.277,
2006-10,13.243,
2007-01,13.167,
2007-04,14.022,
2007-07,13.627,
2007-10,14.120,
2008-01,13.983,
2008-04,13.973,
2008-07,14.684,
2008-10,14.837,
2009-01,14.610,
2009-04,14.633,
2009-07,15.462,
2009-10,15.204,
2010-01,14.823,
2010-04,16.089,
2010-07,15.990,
2010-10,15.918,
2011-01,15.500,
2011-04,15.985,
2011-07,16.068,
2011-10,16.543,
2012-01,16.404,
2012-04,16.336,
2012-07,16.421,
2012-10,16.561,
2013-01,15.447,
2013-04,15.475,
2013-07,15.798,
2013-10,15.572,
2014-01,15.779,
2014-04,15.767,
2014-07,15.836,
2014-10,15.229,
