"",BBK01.OEBO03R,BBK01.OEBO03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:13,
2002-01,0.237,
2002-04,0.287,
2002-07,0.194,
2002-10,0.155,
2003-01,0.221,
2003-04,0.201,
2003-07,0.177,
2003-10,0.167,
2004-01,0.202,
2004-04,0.168,
2004-07,0.154,
2004-10,0.247,
2005-01,0.239,
2005-04,0.217,
2005-07,0.207,
2005-10,0.206,
2006-01,0.262,
2006-04,0.241,
2006-07,0.234,
2006-10,0.254,
2007-01,0.345,
2007-04,0.257,
2007-07,0.282,
2007-10,0.261,
2008-01,0.335,
2008-04,0.278,
2008-07,0.300,
2008-10,0.384,
2009-01,0.354,
2009-04,0.300,
2009-07,0.276,
2009-10,0.342,
2010-01,0.334,
2010-04,0.214,
2010-07,0.192,
2010-10,0.219,
2011-01,0.273,
2011-04,0.231,
2011-07,0.224,
2011-10,0.200,
2012-01,0.269,
2012-04,0.215,
2012-07,0.211,
2012-10,0.222,
2013-01,0.304,
2013-04,0.226,
2013-07,0.174,
2013-10,0.162,
2014-01,0.167,
2014-04,0.152,
2014-07,0.154,
