"",BBK01.OELO02J,BBK01.OELO02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:25,
2002-01,0.103,
2002-04,0.099,
2002-07,0.070,
2002-10,0.113,
2003-01,0.114,
2003-04,0.085,
2003-07,0.105,
2003-10,0.079,
2004-01,0.095,
2004-04,0.075,
2004-07,0.074,
2004-10,0.084,
2005-01,0.089,
2005-04,0.093,
2005-07,0.072,
2005-10,0.102,
2006-01,0.119,
2006-04,0.082,
2006-07,0.092,
2006-10,0.084,
2007-01,0.093,
2007-04,0.080,
2007-07,0.087,
2007-10,0.080,
2008-01,0.105,
2008-04,0.103,
2008-07,0.066,
2008-10,0.125,
2009-01,0.128,
2009-04,0.048,
2009-07,0.108,
2009-10,0.092,
2010-01,0.071,
2010-04,0.056,
2010-07,0.071,
2010-10,0.055,
2011-01,0.061,
2011-04,0.065,
2011-07,0.059,
2011-10,0.064,
2012-01,0.082,
2012-04,0.077,
2012-07,0.080,
2012-10,0.063,
2013-01,0.081,
2013-04,0.054,
2013-07,0.062,
2013-10,0.066,
2014-01,0.063,
2014-04,0.042,
2014-07,0.045,
