"",BBFN1.M.DE.N.1.A.O1.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.O1.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:16,
1995-01,0.081,
1995-02,0.074,
1995-03,0.085,
1995-04,0.053,
1995-05,0.047,
1995-06,0.067,
1995-07,0.067,
1995-08,0.065,
1995-09,0.071,
1995-10,0.079,
1995-11,0.037,
1995-12,0.032,
1996-01,0.022,
1996-02,0.033,
1996-03,0.035,
1996-04,0.038,
1996-05,0.171,
1996-06,0.160,
1996-07,0.066,
1996-08,0.107,
1996-09,0.127,
1996-10,0.116,
1996-11,0.051,
1996-12,0.022,
1997-01,0.017,
1997-02,0.029,
1997-03,0.015,
1997-04,0.025,
1997-05,0.024,
1997-06,0.050,
1997-07,0.048,
1997-08,0.037,
1997-09,0.046,
1997-10,0.034,
1997-11,0.035,
1997-12,0.044,
1998-01,0.034,
1998-02,0.051,
1998-03,0.040,
1998-04,0.033,
1998-05,0.043,
1998-06,0.042,
1998-07,0.013,
1998-08,0.019,
1998-09,0.018,
1998-10,0.012,
1998-11,0.009,
1998-12,0.005,
1999-01,0.024,
1999-02,0.016,
1999-03,0.018,
1999-04,0.020,
1999-05,0.044,
1999-06,0.022,
1999-07,0.033,
1999-08,0.012,
1999-09,0.012,
1999-10,0.015,
1999-11,0.013,
1999-12,0.010,
2000-01,0.005,
2000-02,0.014,
2000-03,0.005,
2000-04,0.031,
2000-05,0.096,
2000-06,0.005,
2000-07,0.007,
2000-08,0.016,
2000-09,0.020,
2000-10,0.008,
2000-11,0.008,
2000-12,0.038,
2001-01,0.009,
2001-02,0.006,
2001-03,0.008,
2001-04,0.025,
2001-05,0.008,
2001-06,0.007,
2001-07,0.010,
2001-08,0.014,
2001-09,0.010,
2001-10,0.026,
2001-11,0.004,
2001-12,0.011,
2002-01,0.012,
2002-02,0.010,
2002-03,0.009,
2002-04,0.005,
2002-05,0.011,
2002-06,0.011,
2002-07,0.018,
2002-08,0.065,
2002-09,0.017,
2002-10,0.013,
2002-11,0.007,
2002-12,0.008,
2003-01,0.005,
2003-02,0.007,
2003-03,0.012,
2003-04,0.018,
2003-05,0.035,
2003-06,0.148,
2003-07,0.071,
2003-08,0.112,
2003-09,0.139,
2003-10,0.367,
2003-11,0.264,
2003-12,0.186,
2004-01,0.182,
2004-02,0.196,
2004-03,0.190,
2004-04,0.346,
2004-05,0.224,
2004-06,0.154,
2004-07,0.380,
2004-08,0.351,
2004-09,0.245,
2004-10,0.306,
2004-11,0.259,
2004-12,0.202,
2005-01,0.207,
2005-02,0.159,
2005-03,0.156,
2005-04,0.287,
2005-05,0.428,
2005-06,0.343,
2005-07,0.306,
2005-08,0.118,
2005-09,0.187,
2005-10,0.201,
2005-11,0.087,
2005-12,0.037,
2006-01,0.196,
2006-02,0.237,
2006-03,0.263,
2006-04,0.112,
2006-05,0.145,
2006-06,0.058,
2006-07,0.061,
2006-08,0.159,
2006-09,0.107,
2006-10,0.233,
2006-11,0.112,
2006-12,0.086,
2007-01,0.074,
2007-02,0.058,
2007-03,0.063,
2007-04,0.120,
2007-05,0.289,
2007-06,0.294,
2007-07,0.288,
2007-08,0.274,
2007-09,0.261,
2007-10,0.257,
2007-11,0.302,
2007-12,0.311,
2008-01,0.309,
2008-02,0.317,
2008-03,0.332,
2008-04,0.337,
2008-05,0.280,
2008-06,0.249,
2008-07,0.246,
2008-08,0.150,
2008-09,0.263,
2008-10,0.082,
2008-11,0.087,
2008-12,0.031,
2009-01,0.045,
2009-02,0.049,
2009-03,0.040,
2009-04,0.060,
2009-05,0.070,
2009-06,0.057,
2009-07,0.051,
2009-08,0.058,
2009-09,0.068,
2009-10,0.084,
2009-11,0.107,
2009-12,0.070,
2010-01,0.068,
2010-02,0.068,
2010-03,0.061,
2010-04,0.070,
2010-05,0.083,
2010-06,0.079,
2010-07,0.079,
2010-08,0.059,
2010-09,0.054,
2010-10,0.079,
2010-11,0.096,
2010-12,0.078,
2011-01,0.076,
2011-02,0.051,
2011-03,0.191,
2011-04,0.237,
2011-05,0.236,
2011-06,0.188,
2011-07,0.180,
2011-08,0.134,
2011-09,0.150,
2011-10,0.132,
2011-11,0.124,
2011-12,0.146,
2012-01,0.100,
2012-02,0.128,
2012-03,0.667,
2012-04,0.638,
2012-05,0.507,
2012-06,1.445,
2012-07,1.445,
2012-08,1.050,
2012-09,1.377,
2012-10,1.681,
2012-11,1.465,
2012-12,1.262,
2013-01,1.149,
2013-02,1.163,
2013-03,0.860,
2013-04,0.879,
2013-05,1.190,
2013-06,0.733,
2013-07,0.674,
2013-08,1.078,
2013-09,0.990,
2013-10,1.128,
2013-11,0.896,
2013-12,0.355,
2014-01,0.574,
2014-02,0.388,
2014-03,0.509,
2014-04,0.398,
2014-05,0.417,
2014-06,0.428,
2014-07,0.501,
2014-08,0.747,
2014-09,0.959,
2014-10,1.404,
2014-11,0.979,
2014-12,0.686,
