"",BBK01.OECB02J,BBK01.OECB02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:07,
2002-01,0.755,
2002-04,0.869,
2002-07,0.819,
2002-10,0.765,
2003-01,0.771,
2003-04,0.793,
2003-07,0.762,
2003-10,0.587,
2004-01,0.601,
2004-04,0.652,
2004-07,0.529,
2004-10,0.488,
2005-01,0.552,
2005-04,0.508,
2005-07,0.521,
2005-10,0.430,
2006-01,0.477,
2006-04,0.488,
2006-07,0.500,
2006-10,0.495,
2007-01,0.609,
2007-04,0.645,
2007-07,0.674,
2007-10,0.543,
2008-01,0.523,
2008-04,0.561,
2008-07,0.567,
2008-10,0.537,
2009-01,0.537,
2009-04,0.550,
2009-07,0.527,
2009-10,0.467,
2010-01,0.498,
2010-04,0.563,
2010-07,0.499,
2010-10,0.481,
2011-01,0.574,
2011-04,0.653,
2011-07,0.607,
2011-10,0.589,
2012-01,0.594,
2012-04,0.730,
2012-07,0.866,
2012-10,0.588,
2013-01,0.817,
2013-04,0.495,
2013-07,0.501,
2013-10,0.499,
2014-01,0.541,
2014-04,0.520,
2014-07,0.484,
