"",BBSF2.M.1.S.I0122.TOT01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.TOT01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net asset value / Domestic credit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:21,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,15222,
1993-05,15565,
1993-06,15999,
1993-07,16491,
1993-08,17292,
1993-09,17727,
1993-10,18476,
1993-11,19156,
1993-12,19557,
1994-01,20043,
1994-02,20362,
1994-03,20784,
1994-04,21409,
1994-05,21830,
1994-06,21871,
1994-07,23022,
1994-08,23548,
1994-09,23466,
1994-10,23685,
1994-11,24149,
1994-12,24440,
1995-01,25572,
1995-02,26159,
1995-03,27192,
1995-04,27850,
1995-05,28702,
1995-06,28781,
1995-07,30243,
1995-08,31055,
1995-09,31685,
1995-10,32052,
1995-11,32546,
1995-12,33302,
1996-01,34810,
1996-02,35047,
1996-03,36262,
1996-04,37507,
1996-05,38110,
1996-06,38889,
1996-07,39580,
1996-08,40309,
1996-09,41193,
1996-10,42347,
1996-11,43222,
1996-12,44044,
1997-01,45620,
1997-02,47671,
1997-03,48979,
1997-04,50511,
1997-05,51317,
1997-06,55669,
1997-07,58361,
1997-08,58303,
1997-09,60351,
1997-10,60238,
1997-11,61160,
1997-12,64319,
1998-01,68993,
1998-02,71369,
1998-03,74556,
1998-04,75529,
1998-05,78090,
1998-06,80086,
1998-07,82391,
1998-08,82644,
1998-09,83927,
1998-10,85738,
1998-11,88305,
1998-12,90249,
1999-01,92701,
1999-02,92773,
1999-03,93046,
1999-04,97740,
1999-05,100041,
1999-06,100911,
1999-07,100146,
1999-08,101819,
1999-09,100373,
1999-10,101619,
1999-11,105070,
1999-12,110994,
2000-01,112314,
2000-02,115297,
2000-03,116988,
2000-04,118063,
2000-05,118820,
2000-06,119088,
2000-07,120941,
2000-08,123027,
2000-09,122946,
2000-10,124404,
2000-11,125134,
2000-12,125254,
2001-01,127835,
2001-02,126564,
2001-03,125566,
2001-04,127250,
2001-05,125679,
2001-06,125848,
2001-07,124901,
2001-08,124536,
2001-09,122700,
2001-10,125826,
2001-11,126009,
2001-12,127613,
2002-01,127116,
2002-02,127430,
2002-03,122599,
2002-04,122302,
2002-05,122962,
2002-06,121193,
2002-07,121152,
2002-08,122682,
2002-09,122907,
2002-10,124408,
2002-11,128917,
2002-12,128170,
2003-01,128454,
2003-02,130748,
2003-03,130024,
2003-04,131810,
2003-05,134287,
2003-06,135886,
2003-07,136152,
2003-08,136942,
2003-09,135488,
2003-10,131569,
2003-11,130993,
2003-12,129932,
2004-01,129739,
2004-02,129360,
2004-03,129642,
2004-04,130014,
2004-05,128813,
2004-06,128327,
2004-07,128754,
2004-08,129733,
2004-09,130973,
2004-10,132499,
2004-11,133844,
2004-12,133433,
2005-01,134848,
2005-02,135530,
2005-03,134856,
2005-04,135986,
2005-05,137630,
2005-06,140190,
2005-07,141921,
2005-08,142644,
2005-09,144704,
2005-10,144230,
2005-11,144681,
2005-12,145373,
2006-01,145576,
2006-02,145714,
2006-03,146005,
2006-04,147727,
2006-05,149708,
2006-06,148461,
2006-07,149663,
2006-08,151007,
2006-09,152384,
2006-10,152651,
2006-11,154121,
2006-12,153192,
2007-01,153816,
2007-02,155063,
2007-03,155796,
2007-04,157832,
2007-05,157589,
2007-06,157323,
2007-07,157535,
2007-08,155564,
2007-09,156897,
2007-10,155154,
2007-11,153111,
2007-12,147366,
2008-01,146469,
2008-02,146470,
2008-03,143740,
2008-04,144323,
2008-05,143409,
2008-06,139436,
2008-07,139677,
2008-08,141005,
2008-09,138509,
2008-10,136546,
2008-11,136225,
2008-12,130989,
2009-01,130272,
2009-02,128114,
2009-03,127159,
2009-04,128232,
2009-05,127959,
2009-06,126720,
2009-07,130378,
2009-08,132557,
2009-09,132426,
2009-10,135439,
2009-11,134876,
2009-12,133780,
2010-01,133535,
2010-02,134876,
2010-03,132470,
2010-04,129400,
2010-05,124847,
2010-06,123450,
2010-07,123088,
2010-08,125388,
2010-09,125057,
2010-10,127429,
2010-11,125945,
2010-12,124732,
2011-01,124586,
2011-02,124970,
2011-03,123862,
2011-04,124122,
2011-05,124071,
2011-06,123469,
2011-07,124168,
2011-08,123489,
2011-09,124293,
2011-10,132190,
2011-11,130589,
2011-12,129917,
2012-01,130661,
2012-02,130002,
2012-03,129815,
2012-04,130044,
2012-05,129897,
2012-06,130172,
2012-07,131972,
2012-08,132850,
2012-09,133828,
2012-10,134854,
2012-11,135425,
2012-12,135264,
2013-01,135569,
2013-02,134997,
2013-03,135045,
2013-04,136776,
2013-05,137046,
2013-06,135521,
2013-07,136658,
2013-08,136405,
2013-09,137240,
2013-10,138063,
2013-11,138211,
2013-12,137456,
2014-01,138274,
2014-02,139624,
2014-03,140228,
2014-04,141756,
2014-05,143656,
2014-06,143062,
2014-07,143879,
2014-08,145237,
2014-09,145435,
2014-10,146008,
2014-11,148189,
