"",BBK01.OEAC06S,BBK01.OEAC06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:09,
2002-01,0.420,
2002-04,0.439,
2002-07,0.452,
2002-10,0.431,
2003-01,0.444,
2003-04,0.468,
2003-07,0.485,
2003-10,0.450,
2004-01,0.463,
2004-04,0.491,
2004-07,0.484,
2004-10,0.454,
2005-01,0.458,
2005-04,0.479,
2005-07,0.489,
2005-10,0.454,
2006-01,0.470,
2006-04,0.481,
2006-07,0.498,
2006-10,0.463,
2007-01,0.486,
2007-04,0.514,
2007-07,0.533,
2007-10,0.511,
2008-01,0.529,
2008-04,0.567,
2008-07,0.583,
2008-10,0.554,
2009-01,0.565,
2009-04,0.612,
2009-07,0.674,
2009-10,0.764,
2010-01,0.733,
2010-04,0.757,
2010-07,0.803,
2010-10,0.742,
2011-01,0.777,
2011-04,0.819,
2011-07,0.843,
2011-10,0.814,
2012-01,0.839,
2012-04,0.879,
2012-07,0.886,
2012-10,0.861,
2013-01,0.877,
2013-04,0.930,
2013-07,0.929,
2013-10,0.912,
2014-01,0.931,
2014-04,0.988,
2014-07,1.015,
