"",BBK01.OELK03N,BBK01.OELK03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:26,
2002-01,2.271,
2002-04,2.239,
2002-07,2.250,
2002-10,2.236,
2003-01,2.222,
2003-04,2.154,
2003-07,2.094,
2003-10,2.053,
2004-01,2.048,
2004-04,1.952,
2004-07,1.922,
2004-10,1.925,
2005-01,1.936,
2005-04,1.927,
2005-07,1.926,
2005-10,1.950,
2006-01,1.937,
2006-04,1.986,
2006-07,2.046,
2006-10,2.046,
2007-01,2.057,
2007-04,2.086,
2007-07,2.143,
2007-10,2.236,
2008-01,2.286,
2008-04,2.360,
2008-07,2.482,
2008-10,2.813,
2009-01,2.542,
2009-04,2.296,
2009-07,2.081,
2009-10,1.895,
2010-01,1.784,
2010-04,1.702,
2010-07,1.648,
2010-10,1.660,
2011-01,1.681,
2011-04,1.749,
2011-07,1.813,
2011-10,1.931,
2012-01,1.829,
2012-04,1.739,
2012-07,1.635,
2012-10,1.527,
2013-01,1.422,
2013-04,1.404,
2013-07,1.342,
2013-10,1.349,
2014-01,1.322,
2014-04,1.275,
2014-07,1.242,
