"",BBK01.OEBB18U,BBK01.OEBB18U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:06,
2002-01,0.127,
2002-04,0.128,
2002-07,0.137,
2002-10,0.138,
2003-01,0.134,
2003-04,0.141,
2003-07,0.138,
2003-10,0.132,
2004-01,0.127,
2004-04,0.124,
2004-07,0.131,
2004-10,0.129,
2005-01,0.143,
2005-04,0.147,
2005-07,0.147,
2005-10,0.137,
2006-01,0.133,
2006-04,0.137,
2006-07,0.137,
2006-10,0.128,
2007-01,0.131,
2007-04,0.135,
2007-07,0.121,
2007-10,0.124,
2008-01,0.111,
2008-04,0.114,
2008-07,0.113,
2008-10,0.125,
2009-01,0.120,
2009-04,0.118,
2009-07,0.129,
2009-10,0.118,
2010-01,0.119,
2010-04,0.117,
2010-07,0.116,
2010-10,0.106,
2011-01,0.109,
2011-04,0.103,
2011-07,0.108,
2011-10,0.102,
2012-01,0.106,
2012-04,0.101,
2012-07,0.098,
2012-10,0.102,
2013-01,0.094,
2013-04,0.094,
2013-07,0.095,
2013-10,0.092,
2014-01,0.091,
2014-04,0.100,
2014-07,0.100,
