"",BBDE1.M.DE.Y.BAA1.N2D350000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2D350000.G.C.I10.A_FLAGS
"","Output in the production sector / Germany / 35 Electricity, gas, steam and air conditioning supply / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:58,
1991-01,92.4,
1991-02,94.9,
1991-03,90.8,
1991-04,92.3,
1991-05,95.9,
1991-06,94.5,
1991-07,91.2,
1991-08,90.4,
1991-09,91.4,
1991-10,91.7,
1991-11,93.5,
1991-12,93.7,
1992-01,93.7,
1992-02,93.4,
1992-03,93.9,
1992-04,93.5,
1992-05,91.6,
1992-06,91.1,
1992-07,92.6,
1992-08,92.0,
1992-09,92.9,
1992-10,94.7,
1992-11,91.2,
1992-12,89.8,
1993-01,90.9,
1993-02,92.9,
1993-03,92.2,
1993-04,89.8,
1993-05,88.3,
1993-06,90.3,
1993-07,89.1,
1993-08,90.2,
1993-09,91.5,
1993-10,90.2,
1993-11,95.4,
1993-12,92.3,
1994-01,90.9,
1994-02,92.5,
1994-03,91.6,
1994-04,93.1,
1994-05,92.0,
1994-06,92.5,
1994-07,94.6,
1994-08,92.6,
1994-09,91.8,
1994-10,93.3,
1994-11,88.2,
1994-12,90.7,
1995-01,93.3,
1995-02,89.9,
1995-03,93.8,
1995-04,93.2,
1995-05,93.8,
1995-06,94.9,
1995-07,92.7,
1995-08,93.7,
1995-09,94.7,
1995-10,90.4,
1995-11,95.8,
1995-12,99.0,
1996-01,97.1,
1996-02,100.1,
1996-03,101.3,
1996-04,95.7,
1996-05,99.9,
1996-06,98.3,
1996-07,98.2,
1996-08,99.4,
1996-09,100.2,
1996-10,98.2,
1996-11,97.0,
1996-12,101.0,
1997-01,102.5,
1997-02,97.3,
1997-03,96.3,
1997-04,97.5,
1997-05,98.3,
1997-06,98.5,
1997-07,97.0,
1997-08,96.3,
1997-09,95.6,
1997-10,99.1,
1997-11,100.5,
1997-12,97.2,
1998-01,96.0,
1998-02,95.1,
1998-03,97.8,
1998-04,97.5,
1998-05,97.3,
1998-06,97.7,
1998-07,100.2,
1998-08,103.3,
1998-09,99.8,
1998-10,98.0,
1998-11,99.5,
1998-12,97.4,
1999-01,96.8,
1999-02,99.2,
1999-03,97.0,
1999-04,98.3,
1999-05,98.4,
1999-06,99.9,
1999-07,98.9,
1999-08,99.7,
1999-09,97.4,
1999-10,98.9,
1999-11,101.0,
1999-12,99.3,
2000-01,101.0,
2000-02,100.8,
2000-03,100.2,
2000-04,99.1,
2000-05,97.5,
2000-06,98.4,
2000-07,102.8,
2000-08,100.6,
2000-09,101.6,
2000-10,100.0,
2000-11,98.8,
2000-12,97.4,
2001-01,98.1,
2001-02,96.1,
2001-03,96.0,
2001-04,99.7,
2001-05,98.3,
2001-06,96.2,
2001-07,97.7,
2001-08,99.2,
2001-09,99.7,
2001-10,96.5,
2001-11,99.1,
2001-12,99.4,
2002-01,98.4,
2002-02,94.7,
2002-03,95.5,
2002-04,99.2,
2002-05,100.3,
2002-06,97.9,
2002-07,97.7,
2002-08,99.7,
2002-09,99.9,
2002-10,102.3,
2002-11,97.7,
2002-12,97.3,
2003-01,101.3,
2003-02,104.0,
2003-03,104.2,
2003-04,103.6,
2003-05,103.1,
2003-06,104.7,
2003-07,102.1,
2003-08,103.0,
2003-09,99.9,
2003-10,101.7,
2003-11,99.2,
2003-12,97.6,
2004-01,107.2,
2004-02,105.8,
2004-03,105.3,
2004-04,103.1,
2004-05,103.0,
2004-06,102.3,
2004-07,101.2,
2004-08,102.5,
2004-09,104.9,
2004-10,104.3,
2004-11,106.3,
2004-12,107.2,
2005-01,100.1,
2005-02,108.0,
2005-03,106.1,
2005-04,106.1,
2005-05,104.1,
2005-06,105.2,
2005-07,106.9,
2005-08,103.5,
2005-09,102.5,
2005-10,102.6,
2005-11,104.0,
2005-12,107.4,
2006-01,112.7,
2006-02,111.2,
2006-03,111.2,
2006-04,107.1,
2006-05,102.1,
2006-06,107.9,
2006-07,108.4,
2006-08,106.4,
2006-09,102.9,
2006-10,101.2,
2006-11,101.2,
2006-12,101.2,
2007-01,93.5,
2007-02,97.6,
2007-03,98.8,
2007-04,99.0,
2007-05,103.8,
2007-06,107.1,
2007-07,103.5,
2007-08,106.7,
2007-09,105.7,
2007-10,106.5,
2007-11,106.0,
2007-12,103.4,
2008-01,96.5,
2008-02,98.0,
2008-03,101.7,
2008-04,107.4,
2008-05,104.0,
2008-06,104.0,
2008-07,102.1,
2008-08,100.1,
2008-09,103.7,
2008-10,101.3,
2008-11,94.8,
2008-12,94.2,
2009-01,98.6,
2009-02,95.3,
2009-03,89.7,
2009-04,86.8,
2009-05,89.7,
2009-06,99.5,
2009-07,99.5,
2009-08,100.0,
2009-09,98.6,
2009-10,97.9,
2009-11,95.1,
2009-12,100.0,
2010-01,102.5,
2010-02,100.3,
2010-03,96.4,
2010-04,100.0,
2010-05,102.6,
2010-06,94.7,
