"",BBK01.OEYB14O,BBK01.OEYB14O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:43,
2002-01,0.131,
2002-04,0.087,
2002-07,0.110,
2002-10,0.092,
2003-01,0.082,
2003-04,0.078,
2003-07,0.049,
2003-10,0.052,
2004-01,0.057,
2004-04,0.056,
2004-07,0.053,
2004-10,0.043,
2005-01,0.043,
2005-04,0.044,
2005-07,0.049,
2005-10,0.040,
2006-01,0.039,
2006-04,0.046,
2006-07,0.047,
2006-10,0.060,
2007-01,0.058,
2007-04,0.063,
2007-07,0.053,
2007-10,0.055,
2008-01,0.054,
2008-04,0.040,
2008-07,0.035,
2008-10,0.038,
2009-01,0.025,
2009-04,0.021,
2009-07,0.027,
2009-10,0.032,
2010-01,0.027,
2010-04,0.021,
2010-07,0.024,
2010-10,0.028,
2011-01,0.024,
2011-04,0.023,
2011-07,0.020,
2011-10,0.022,
2012-01,0.024,
2012-04,0.027,
2012-07,0.023,
2012-10,0.209,
2013-01,0.043,
2013-04,0.034,
2013-07,0.031,
2013-10,0.208,
2014-01,0.027,
2014-04,0.030,
2014-07,0.026,
