"",BBK01.OECB17U,BBK01.OECB17U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:18,
2002-01,1.201,
2002-04,1.191,
2002-07,1.182,
2002-10,1.166,
2003-01,1.148,
2003-04,1.143,
2003-07,1.135,
2003-10,1.127,
2004-01,1.119,
2004-04,1.138,
2004-07,1.143,
2004-10,1.137,
2005-01,1.568,
2005-04,1.575,
2005-07,1.595,
2005-10,1.596,
2006-01,1.595,
2006-04,1.600,
2006-07,1.607,
2006-10,1.614,
2007-01,1.609,
2007-04,1.672,
2007-07,1.657,
2007-10,1.654,
2008-01,1.645,
2008-04,1.655,
2008-07,1.661,
2008-10,1.650,
2009-01,1.635,
2009-04,2.075,
2009-07,2.055,
2009-10,2.029,
2010-01,2.020,
2010-04,2.022,
2010-07,2.013,
2010-10,2.002,
2011-01,1.996,
2011-04,1.969,
2011-07,1.964,
2011-10,1.957,
2012-01,1.952,
2012-04,1.943,
2012-07,1.946,
2012-10,1.951,
2013-01,1.958,
2013-04,1.968,
2013-07,2.000,
2013-10,2.013,
2014-01,2.011,
2014-04,1.996,
2014-07,2.031,
