"",BBK01.OECB15O,BBK01.OECB15O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:04,
2002-01,0.075,
2002-04,0.074,
2002-07,0.068,
2002-10,0.070,
2003-01,0.073,
2003-04,0.072,
2003-07,0.072,
2003-10,0.062,
2004-01,0.061,
2004-04,0.061,
2004-07,0.059,
2004-10,0.054,
2005-01,0.051,
2005-04,0.051,
2005-07,0.052,
2005-10,0.050,
2006-01,0.050,
2006-04,0.048,
2006-07,0.048,
2006-10,0.045,
2007-01,0.044,
2007-04,0.042,
2007-07,0.039,
2007-10,0.039,
2008-01,0.041,
2008-04,0.041,
2008-07,0.042,
2008-10,0.042,
2009-01,0.042,
2009-04,0.047,
2009-07,0.048,
2009-10,0.045,
2010-01,0.047,
2010-04,0.047,
2010-07,0.049,
2010-10,0.049,
2011-01,0.041,
2011-04,0.035,
2011-07,0.034,
2011-10,0.032,
2012-01,0.025,
2012-04,0.024,
2012-07,0.020,
2012-10,0.035,
2013-01,0.042,
2013-04,0.046,
2013-07,0.045,
2013-10,0.045,
2014-01,0.045,
2014-04,0.046,
2014-07,0.023,
