"",BBK01.OEAF23L,BBK01.OEAF23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:19,
2002-01,2.078,
2002-04,2.248,
2002-07,2.306,
2002-10,2.339,
2003-01,2.280,
2003-04,2.285,
2003-07,2.322,
2003-10,2.415,
2004-01,2.358,
2004-04,2.303,
2004-07,2.434,
2004-10,2.421,
2005-01,2.385,
2005-04,2.371,
2005-07,2.392,
2005-10,2.647,
2006-01,2.424,
2006-04,2.427,
2006-07,2.443,
2006-10,2.440,
2007-01,2.418,
2007-04,2.389,
2007-07,2.423,
2007-10,2.434,
2008-01,2.416,
2008-04,2.412,
2008-07,2.459,
2008-10,2.386,
2009-01,3.550,
2009-04,3.444,
2009-07,3.372,
2009-10,3.306,
2010-01,3.388,
2010-04,3.491,
2010-07,3.533,
2010-10,4.418,
2011-01,3.046,
2011-04,3.100,
2011-07,3.225,
2011-10,3.303,
2012-01,3.342,
2012-04,3.386,
2012-07,3.423,
2012-10,3.408,
2013-01,3.395,
2013-04,3.391,
2013-07,3.425,
2013-10,3.405,
2014-01,3.357,
2014-04,3.368,
2014-07,3.397,
