"",BBK01.OEAH08K,BBK01.OEAH08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:32,
2002-01,1.471,
2002-04,1.443,
2002-07,1.403,
2002-10,1.367,
2003-01,1.268,
2003-04,1.190,
2003-07,1.129,
2003-10,1.063,
2004-01,1.028,
2004-04,0.962,
2004-07,0.895,
2004-10,0.879,
2005-01,0.830,
2005-04,0.766,
2005-07,0.720,
2005-10,0.685,
2006-01,0.660,
2006-04,0.582,
2006-07,0.584,
2006-10,0.628,
2007-01,0.633,
2007-04,0.645,
2007-07,0.644,
2007-10,0.698,
2008-01,0.764,
2008-04,0.806,
2008-07,0.869,
2008-10,0.937,
2009-01,1.006,
2009-04,0.913,
2009-07,0.819,
2009-10,0.758,
2010-01,0.713,
2010-04,0.816,
2010-07,0.835,
2010-10,0.876,
2011-01,0.918,
2011-04,1.035,
2011-07,1.081,
2011-10,1.090,
2012-01,1.072,
2012-04,1.080,
2012-07,1.087,
2012-10,1.115,
2013-01,1.040,
2013-04,0.911,
2013-07,0.859,
2013-10,0.847,
2014-01,0.820,
2014-04,0.840,
2014-07,2.226,
