"",BBK01.OEYB22M,BBK01.OEYB22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:25,
2002-01,0.575,
2002-04,0.944,
2002-07,0.521,
2002-10,0.670,
2003-01,1.052,
2003-04,0.839,
2003-07,0.859,
2003-10,1.203,
2004-01,0.661,
2004-04,1.954,
2004-07,1.534,
2004-10,0.884,
2005-01,1.076,
2005-04,0.613,
2005-07,0.744,
2005-10,1.156,
2006-01,0.885,
2006-04,1.058,
2006-07,0.959,
2006-10,0.571,
2007-01,0.438,
2007-04,0.377,
2007-07,0.781,
2007-10,0.376,
2008-01,1.705,
2008-04,1.051,
2008-07,0.470,
2008-10,0.354,
2009-01,1.024,
2009-04,0.758,
2009-07,0.464,
2009-10,0.629,
2010-01,0.976,
2010-04,0.431,
2010-07,0.605,
2010-10,0.450,
2011-01,0.898,
2011-04,0.379,
2011-07,1.222,
2011-10,1.521,
2012-01,1.605,
2012-04,1.812,
2012-07,1.406,
2012-10,2.358,
2013-01,0.733,
2013-04,0.975,
2013-07,0.926,
2013-10,1.183,
2014-01,0.316,
2014-04,0.410,
2014-07,0.262,
