"",BBK01.OEXJ04R,BBK01.OEXJ04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:45,
2002-01,0.231,
2002-04,0.221,
2002-07,0.245,
2002-10,0.237,
2003-01,0.217,
2003-04,0.218,
2003-07,0.216,
2003-10,0.216,
2004-01,0.225,
2004-04,0.186,
2004-07,0.175,
2004-10,0.139,
2005-01,0.142,
2005-04,0.114,
2005-07,0.139,
2005-10,0.139,
2006-01,0.163,
2006-04,0.194,
2006-07,0.174,
2006-10,0.163,
2007-01,0.230,
2007-04,0.264,
2007-07,0.287,
2007-10,0.352,
2008-01,0.440,
2008-04,0.418,
2008-07,0.492,
2008-10,0.379,
2009-01,0.096,
2009-04,0.062,
2009-07,0.054,
2009-10,0.043,
2010-01,0.043,
2010-04,0.038,
2010-07,0.040,
2010-10,0.050,
2011-01,0.067,
2011-04,0.071,
2011-07,0.080,
2011-10,0.515,
2012-01,0.553,
2012-04,0.649,
2012-07,0.686,
2012-10,0.707,
2013-01,0.723,
2013-04,0.724,
2013-07,0.709,
2013-10,0.628,
2014-01,0.677,
2014-04,0.661,
2014-07,0.429,
