"",BBK01.OEAA37T,BBK01.OEAA37T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:31,
2002-01,7.253,
2002-04,7.304,
2002-07,7.321,
2002-10,7.448,
2003-01,7.355,
2003-04,7.444,
2003-07,7.464,
2003-10,7.524,
2004-01,7.627,
2004-04,7.649,
2004-07,7.671,
2004-10,7.669,
2005-01,8.344,
2005-04,8.352,
2005-07,8.359,
2005-10,8.329,
2006-01,8.287,
2006-04,8.342,
2006-07,8.409,
2006-10,8.493,
2007-01,8.479,
2007-04,8.564,
2007-07,8.559,
2007-10,8.495,
2008-01,8.401,
2008-04,8.359,
2008-07,8.398,
2008-10,8.363,
2009-01,8.278,
2009-04,8.517,
2009-07,8.505,
2009-10,8.513,
2010-01,8.455,
2010-04,8.504,
2010-07,8.722,
2010-10,8.618,
2011-01,8.691,
2011-04,8.684,
2011-07,8.757,
2011-10,8.767,
2012-01,8.754,
2012-04,8.814,
2012-07,8.900,
2012-10,8.920,
2013-01,8.907,
2013-04,8.956,
2013-07,9.038,
2013-10,9.008,
2014-01,9.012,
2014-04,9.088,
2014-07,9.220,
