"",BBK01.OEAC23I,BBK01.OEAC23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:08,
2002-01,0.326,
2002-04,0.214,
2002-07,0.208,
2002-10,0.187,
2003-01,0.119,
2003-04,0.221,
2003-07,0.145,
2003-10,0.149,
2004-01,0.083,
2004-04,0.121,
2004-07,0.085,
2004-10,0.096,
2005-01,0.094,
2005-04,0.049,
2005-07,0.110,
2005-10,0.081,
2006-01,0.555,
2006-04,0.395,
2006-07,0.318,
2006-10,0.381,
2007-01,0.225,
2007-04,0.223,
2007-07,0.200,
2007-10,2.257,
2008-01,4.392,
2008-04,4.425,
2008-07,5.676,
2008-10,4.785,
2009-01,5.486,
2009-04,5.872,
2009-07,5.810,
2009-10,7.169,
2010-01,7.413,
2010-04,6.823,
2010-07,3.465,
2010-10,5.078,
2011-01,5.480,
2011-04,7.114,
2011-07,9.355,
2011-10,4.963,
2012-01,8.866,
2012-04,9.988,
2012-07,7.575,
2012-10,4.569,
2013-01,5.588,
2013-04,8.237,
2013-07,0.726,
2013-10,0.898,
2014-01,1.282,
2014-04,0.948,
2014-07,0.669,
