"",BBK01.OEBB10U,BBK01.OEBB10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:03,
2002-01,0.687,
2002-04,0.713,
2002-07,0.699,
2002-10,0.666,
2003-01,0.626,
2003-04,0.621,
2003-07,0.591,
2003-10,0.565,
2004-01,0.595,
2004-04,0.574,
2004-07,0.549,
2004-10,0.475,
2005-01,0.499,
2005-04,0.505,
2005-07,0.534,
2005-10,0.490,
2006-01,0.503,
2006-04,0.486,
2006-07,0.495,
2006-10,0.528,
2007-01,0.545,
2007-04,0.663,
2007-07,0.608,
2007-10,0.570,
2008-01,0.692,
2008-04,0.687,
2008-07,0.611,
2008-10,0.595,
2009-01,0.592,
2009-04,0.581,
2009-07,0.576,
2009-10,0.491,
2010-01,0.497,
2010-04,0.522,
2010-07,0.457,
2010-10,0.386,
2011-01,0.438,
2011-04,0.468,
2011-07,0.476,
2011-10,0.448,
2012-01,0.489,
2012-04,0.465,
2012-07,0.468,
2012-10,0.424,
2013-01,0.467,
2013-04,0.475,
2013-07,0.457,
2013-10,0.419,
2014-01,0.474,
2014-04,0.523,
2014-07,0.480,
