"",BBFN1.M.DE.N.1.L.B0.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1980-07,16.312,
1980-08,18.146,
1980-09,18.478,
1980-10,18.578,
1980-11,18.809,
1980-12,16.112,
1981-01,18.819,
1981-02,17.961,
1981-03,19.524,
1981-04,21.269,
1981-05,22.362,
1981-06,22.168,
1981-07,22.861,
1981-08,23.499,
1981-09,23.660,
1981-10,23.332,
1981-11,24.020,
1981-12,21.980,
1982-01,24.255,
1982-02,25.364,
1982-03,25.774,
1982-04,26.107,
1982-05,26.693,
1982-06,26.925,
1982-07,27.193,
1982-08,27.380,
1982-09,27.913,
1982-10,27.937,
1982-11,28.088,
1982-12,24.870,
1983-01,27.269,
1983-02,27.221,
1983-03,26.799,
1983-04,26.101,
1983-05,25.824,
1983-06,25.970,
1983-07,25.859,
1983-08,25.956,
1983-09,25.287,
1983-10,25.965,
1983-11,25.988,
1983-12,23.898,
1984-01,24.918,
1984-02,25.998,
1984-03,25.614,
1984-04,25.936,
1984-05,25.921,
1984-06,25.884,
1984-07,26.762,
1984-08,27.658,
1984-09,27.268,
1984-10,27.755,
1984-11,28.384,
1984-12,25.268,
1985-01,25.451,
1985-02,25.810,
1985-03,25.769,
1985-04,25.418,
1985-05,25.589,
1985-06,25.915,
1985-07,26.011,
1985-08,26.727,
1985-09,26.259,
1985-10,26.320,
1985-11,26.389,
1985-12,25.676,
1986-01,25.799,
1986-02,25.556,
1986-03,25.563,
1986-04,25.063,
1986-05,24.563,
1986-06,23.571,
1986-07,23.109,
1986-08,23.040,
1986-09,22.460,
1986-10,22.733,
1986-11,22.270,
1986-12,19.311,
1987-01,20.206,
1987-02,20.684,
1987-03,19.749,
1987-04,19.225,
1987-05,18.965,
1987-06,18.769,
1987-07,18.886,
1987-08,18.998,
1987-09,19.217,
1987-10,20.184,
1987-11,20.378,
1987-12,18.824,
1988-01,19.668,
1988-02,19.929,
1988-03,19.543,
1988-04,19.527,
1988-05,19.650,
1988-06,20.071,
1988-07,19.943,
1988-08,19.905,
1988-09,20.061,
1988-10,20.617,
1988-11,20.767,
1988-12,19.467,
1989-01,20.227,
1989-02,20.062,
1989-03,20.828,
1989-04,20.500,
1989-05,20.851,
1989-06,20.989,
1989-07,21.121,
1989-08,21.739,
1989-09,22.068,
1989-10,22.625,
1989-11,23.875,
1989-12,22.437,
1990-01,24.073,
1990-02,25.144,
1990-03,26.326,
1990-04,26.488,
1990-05,25.320,
1990-06,26.276,
1990-07,26.331,
1990-08,26.996,
1990-09,27.925,
1990-10,28.672,
1990-11,29.910,
1990-12,26.487,
1991-01,28.397,
1991-02,30.282,
1991-03,31.040,
1991-04,32.241,
1991-05,32.889,
1991-06,34.241,
1991-07,35.021,
1991-08,36.385,
1991-09,36.784,
1991-10,37.339,
1991-11,36.717,
1991-12,35.900,
1992-01,35.673,
1992-02,35.074,
1992-03,33.038,
1992-04,32.043,
1992-05,33.251,
1992-06,33.672,
1992-07,36.310,
1992-08,36.595,
1992-09,37.996,
1992-10,37.491,
1992-11,39.316,
1992-12,38.213,
1993-01,40.255,
1993-02,39.851,
1993-03,39.273,
1993-04,40.575,
1993-05,40.157,
1993-06,38.466,
1993-07,37.662,
1993-08,38.712,
1993-09,37.274,
1993-10,37.171,
1993-11,36.301,
1993-12,35.148,
1994-01,34.328,
1994-02,35.204,
1994-03,35.965,
1994-04,35.535,
1994-05,36.216,
1994-06,35.321,
1994-07,35.230,
1994-08,35.848,
1994-09,36.129,
1994-10,36.276,
1994-11,36.317,
1994-12,35.077,
1995-01,39.708,
1995-02,39.256,
1995-03,41.783,
1995-04,40.387,
1995-05,41.488,
1995-06,40.401,
1995-07,40.211,
1995-08,40.338,
1995-09,41.524,
1995-10,41.637,
1995-11,42.597,
1995-12,41.069,
1996-01,40.642,
1996-02,43.826,
1996-03,42.711,
1996-04,42.967,
1996-05,46.467,
1996-06,43.528,
1996-07,41.665,
1996-08,42.349,
1996-09,45.329,
1996-10,45.742,
1996-11,46.943,
1996-12,47.441,
1997-01,44.735,
1997-02,47.724,
1997-03,49.796,
1997-04,50.634,
1997-05,51.171,
1997-06,53.774,
1997-07,54.806,
1997-08,51.407,
1997-09,51.697,
1997-10,55.467,
1997-11,53.423,
1997-12,56.522,
1998-01,54.850,
1998-02,54.586,
1998-03,58.720,
1998-04,63.319,
1998-05,63.517,
1998-06,58.932,
1998-07,58.063,
1998-08,57.801,
1998-09,56.493,
1998-10,59.726,
1998-11,60.825,
1998-12,57.181,
1999-01,57.740,
1999-02,58.293,
1999-03,62.928,
1999-04,64.677,
1999-05,65.309,
1999-06,70.359,
1999-07,71.102,
1999-08,74.380,
1999-09,73.554,
1999-10,76.613,
1999-11,77.401,
1999-12,90.789,
2000-01,92.928,
2000-02,101.682,
2000-03,102.386,
2000-04,104.707,
2000-05,112.786,
2000-06,120.167,
2000-07,108.781,
2000-08,126.852,
2000-09,151.961,
2000-10,159.552,
2000-11,152.441,
2000-12,146.572,
2001-01,152.287,
2001-02,154.087,
2001-03,146.498,
2001-04,149.879,
2001-05,143.632,
2001-06,146.492,
2001-07,150.809,
2001-08,154.610,
2001-09,154.714,
2001-10,155.203,
2001-11,148.715,
2001-12,152.681,
2002-01,147.346,
2002-02,155.107,
2002-03,156.874,
2002-04,156.912,
2002-05,150.894,
2002-06,148.119,
2002-07,142.988,
2002-08,141.808,
2002-09,145.184,
2002-10,144.553,
2002-11,141.818,
2002-12,135.016,
2003-01,144.214,
2003-02,143.092,
2003-03,143.580,
2003-04,146.789,
2003-05,149.845,
2003-06,150.844,
2003-07,154.217,
2003-08,153.526,
2003-09,149.725,
2003-10,138.521,
2003-11,143.010,
2003-12,146.739,
2004-01,150.801,
2004-02,157.517,
2004-03,149.285,
2004-04,145.646,
2004-05,147.140,
2004-06,144.791,
2004-07,146.607,
2004-08,145.604,
2004-09,141.970,
2004-10,138.827,
2004-11,138.400,
2004-12,134.764,
2005-01,131.455,
2005-02,130.773,
2005-03,130.932,
2005-04,125.790,
2005-05,127.662,
2005-06,128.638,
2005-07,128.429,
2005-08,131.985,
2005-09,134.009,
2005-10,137.600,
2005-11,137.296,
2005-12,145.290,
2006-01,147.892,
2006-02,157.876,
2006-03,156.906,
2006-04,155.721,
2006-05,164.179,
2006-06,166.939,
2006-07,165.175,
2006-08,168.438,
2006-09,186.448,
2006-10,182.986,
2006-11,185.153,
2006-12,180.640,
2007-01,188.743,
2007-02,197.683,
2007-03,195.315,
2007-04,195.379,
2007-05,197.953,
2007-06,197.924,
2007-07,199.464,
2007-08,190.731,
2007-09,198.549,
2007-10,186.211,
2007-11,183.545,
2007-12,184.933,
2008-01,187.873,
2008-02,186.799,
2008-03,188.692,
2008-04,184.673,
2008-05,187.328,
2008-06,186.918,
2008-07,180.677,
2008-08,178.879,
2008-09,183.978,
2008-10,188.346,
2008-11,187.580,
2008-12,189.977,
2009-01,190.573,
2009-02,186.695,
2009-03,187.518,
2009-04,192.148,
2009-05,187.151,
2009-06,185.863,
2009-07,178.004,
2009-08,176.559,
2009-09,177.942,
2009-10,181.351,
2009-11,179.820,
2009-12,189.290,
2010-01,182.454,
2010-02,183.680,
2010-03,181.663,
2010-04,183.534,
2010-05,191.072,
2010-06,192.792,
2010-07,198.290,
2010-08,205.692,
2010-09,213.703,
2010-10,208.697,
2010-11,213.176,
2010-12,209.501,
2011-01,216.801,
2011-02,209.311,
2011-03,206.030,
2011-04,214.795,
2011-05,218.316,
2011-06,229.409,
2011-07,237.803,
2011-08,244.422,
2011-09,259.689,
2011-10,239.619,
2011-11,246.753,
2011-12,248.595,
2012-01,251.455,
2012-02,247.503,
2012-03,263.951,
2012-04,265.978,
2012-05,272.696,
2012-06,279.911,
2012-07,277.048,
2012-08,264.459,
2012-09,274.077,
2012-10,272.924,
2012-11,275.918,
2012-12,270.646,
2013-01,275.278,
2013-02,275.241,
2013-03,284.388,
2013-04,298.875,
2013-05,297.286,
2013-06,304.475,
2013-07,298.081,
2013-08,285.128,
2013-09,286.236,
2013-10,269.321,
2013-11,274.209,
2013-12,258.729,
2014-01,267.771,
2014-02,267.913,
2014-03,271.110,
2014-04,275.354,
2014-05,275.235,
2014-06,278.978,
2014-07,283.199,
2014-08,281.312,
2014-09,267.714,
2014-10,262.451,
2014-11,267.875,
2014-12,246.245,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
