"",BBK01.OUE345,BBK01.OUE345_FLAGS
"",Loans to domestic general governments / Total / Branches of foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:54:15,
1999-01,0.307,
1999-02,0.149,
1999-03,0.196,
1999-04,0.228,
1999-05,0.150,
1999-06,0.093,
1999-07,0.110,
1999-08,0.180,
1999-09,0.197,
1999-10,0.417,
1999-11,0.396,
1999-12,0.550,
2000-01,0.282,
2000-02,0.182,
2000-03,0.295,
2000-04,0.425,
2000-05,0.294,
2000-06,0.238,
2000-07,0.204,
2000-08,0.194,
2000-09,0.227,
2000-10,0.274,
2000-11,0.231,
2000-12,0.272,
2001-01,0.822,
2001-02,0.775,
2001-03,0.306,
2001-04,0.199,
2001-05,0.141,
2001-06,0.128,
2001-07,0.115,
2001-08,0.152,
2001-09,0.146,
2001-10,0.142,
2001-11,1.153,
2001-12,0.142,
2002-01,1.051,
2002-02,0.071,
2002-03,0.262,
2002-04,0.128,
2002-05,0.156,
2002-06,0.182,
2002-07,0.318,
2002-08,0.359,
2002-09,0.395,
2002-10,0.880,
2002-11,0.256,
2002-12,0.360,
2003-01,0.282,
2003-02,0.255,
2003-03,0.252,
2003-04,0.610,
2003-05,0.146,
2003-06,0.126,
2003-07,0.386,
2003-08,1.359,
2003-09,0.423,
2003-10,0.156,
2003-11,0.570,
2003-12,0.192,
2004-01,0.386,
2004-02,0.138,
2004-03,0.598,
2004-04,0.083,
2004-05,0.066,
2004-06,0.044,
2004-07,0.438,
2004-08,0.075,
2004-09,0.899,
2004-10,0.286,
2004-11,0.037,
2004-12,0.049,
2005-01,0.061,
2005-02,0.053,
2005-03,0.047,
2005-04,0.034,
2005-05,0.035,
2005-06,0.049,
2005-07,0.069,
2005-08,0.112,
2005-09,0.029,
2005-10,0.027,
2005-11,0.040,
2005-12,0.064,
2006-01,0.032,
2006-02,0.570,
2006-03,0.577,
2006-04,0.068,
2006-05,0.061,
2006-06,0.017,
2006-07,0.028,
2006-08,0.088,
2006-09,0.044,
2006-10,0.025,
2006-11,0.046,
2006-12,0.053,
2007-01,0.049,
2007-02,0.060,
2007-03,0.047,
2007-04,0.026,
2007-05,0.061,
2007-06,0.073,
2007-07,0.069,
2007-08,0.555,
2007-09,0.047,
2007-10,0.038,
2007-11,0.023,
2007-12,0.061,
2008-01,0.565,
2008-02,0.578,
2008-03,0.070,
2008-04,0.063,
2008-05,0.557,
2008-06,0.515,
2008-07,0.394,
2008-08,0.415,
2008-09,0.015,
2008-10,0.014,
2008-11,0.511,
2008-12,0.016,
2009-01,0.012,
2009-02,1.182,
2009-03,0.630,
2009-04,1.410,
2009-05,0.010,
2009-06,0.010,
2009-07,1.160,
2009-08,1.250,
2009-09,2.251,
2009-10,1.251,
2009-11,1.877,
2009-12,0.877,
2010-01,2.330,
2010-02,1.074,
2010-03,1.346,
2010-04,2.334,
2010-05,1.569,
2010-06,1.251,
2010-07,2.829,
2010-08,1.613,
2010-09,1.906,
2010-10,1.887,
2010-11,2.277,
2010-12,1.385,
2011-01,2.235,
2011-02,3.193,
2011-03,2.354,
2011-04,2.903,
2011-05,0.961,
2011-06,0.931,
2011-07,1.655,
2011-08,0.310,
2011-09,0.062,
2011-10,0.048,
2011-11,0.198,
2011-12,0.050,
2012-01,1.180,
2012-02,0.246,
2012-03,0.151,
2012-04,0.401,
2012-05,0.501,
2012-06,0.402,
2012-07,0.252,
2012-08,0.151,
2012-09,0.150,
2012-10,0.296,
2012-11,0.126,
2012-12,0.191,
2013-01,0.167,
2013-02,0.144,
2013-03,0.142,
2013-04,0.281,
2013-05,0.459,
2013-06,0.619,
2013-07,0.778,
2013-08,0.243,
2013-09,0.243,
2013-10,0.390,
2013-11,0.291,
2013-12,0.237,
2014-01,0.141,
2014-02,0.141,
2014-03,0.242,
2014-04,0.241,
2014-05,0.241,
2014-06,0.294,
2014-07,0.191,
2014-08,0.241,
2014-09,0.299,
2014-10,0.394,
2014-11,0.054,
2014-12,0.326,Provisional value
