"",BBK01.OELL09U,BBK01.OELL09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:37,
2002-01,0.172,
2002-04,0.182,
2002-07,0.198,
2002-10,0.170,
2003-01,0.140,
2003-04,0.134,
2003-07,0.130,
2003-10,0.133,
2004-01,0.137,
2004-04,0.140,
2004-07,0.154,
2004-10,0.182,
2005-01,0.187,
2005-04,0.170,
2005-07,0.158,
2005-10,0.125,
2006-01,0.116,
2006-04,0.127,
2006-07,0.137,
2006-10,0.149,
2007-01,0.153,
2007-04,0.132,
2007-07,0.126,
2007-10,0.112,
2008-01,0.099,
2008-04,0.088,
2008-07,0.075,
2008-10,0.074,
2009-01,0.100,
2009-04,0.132,
2009-07,0.163,
2009-10,0.197,
2010-01,0.205,
2010-04,0.193,
2010-07,0.181,
2010-10,0.155,
2011-01,0.138,
2011-04,0.126,
2011-07,0.118,
2011-10,0.104,
2012-01,0.104,
2012-04,0.095,
2012-07,0.084,
2012-10,0.078,
2013-01,0.072,
2013-04,0.068,
2013-07,0.075,
2013-10,0.078,
2014-01,0.084,
2014-04,0.082,
2014-07,0.075,
