"",BBK01.OECJ10L,BBK01.OECJ10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:08,
2002-01,0.126,
2002-04,0.127,
2002-07,0.116,
2002-10,0.114,
2003-01,0.114,
2003-04,0.110,
2003-07,0.092,
2003-10,0.093,
2004-01,0.087,
2004-04,0.086,
2004-07,0.082,
2004-10,0.079,
2005-01,0.078,
2005-04,0.074,
2005-07,0.073,
2005-10,0.070,
2006-01,0.067,
2006-04,0.066,
2006-07,0.064,
2006-10,0.059,
2007-01,0.060,
2007-04,0.061,
2007-07,0.054,
2007-10,0.050,
2008-01,0.047,
2008-04,0.048,
2008-07,0.040,
2008-10,0.039,
2009-01,0.036,
2009-04,0.039,
2009-07,0.043,
2009-10,0.042,
2010-01,0.042,
2010-04,0.043,
2010-07,0.036,
2010-10,0.034,
2011-01,0.033,
2011-04,0.317,
2011-07,0.292,
2011-10,0.273,
2012-01,0.259,
2012-04,0.247,
2012-07,0.233,
2012-10,0.220,
2013-01,0.208,
2013-04,0.194,
2013-07,0.178,
2013-10,0.165,
2014-01,0.151,
2014-04,0.135,
2014-07,0.123,
