"",BBK01.OEAH37L,BBK01.OEAH37L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:17,
2002-01,0.058,
2002-04,0.057,
2002-07,0.049,
2002-10,0.048,
2003-01,0.045,
2003-04,0.041,
2003-07,0.043,
2003-10,0.024,
2004-01,0.026,
2004-04,0.025,
2004-07,0.029,
2004-10,0.040,
2005-01,0.037,
2005-04,0.039,
2005-07,0.032,
2005-10,0.047,
2006-01,0.069,
2006-04,0.084,
2006-07,0.096,
2006-10,0.108,
2007-01,0.122,
2007-04,0.129,
2007-07,0.148,
2007-10,0.166,
2008-01,0.189,
2008-04,0.198,
2008-07,0.209,
2008-10,0.211,
2009-01,0.202,
2009-04,0.184,
2009-07,0.166,
2009-10,0.156,
2010-01,0.131,
2010-04,0.128,
2010-07,0.120,
2010-10,0.202,
2011-01,0.134,
2011-04,0.139,
2011-07,0.133,
2011-10,0.136,
2012-01,0.141,
2012-04,0.144,
2012-07,0.134,
2012-10,0.120,
2013-01,0.107,
2013-04,0.093,
2013-07,0.083,
2013-10,0.091,
2014-01,0.083,
2014-04,0.092,
2014-07,0.093,
