"",BBK01.OELK01O,BBK01.OELK01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:12,
2002-01,1.574,
2002-04,1.546,
2002-07,1.571,
2002-10,1.636,
2003-01,1.567,
2003-04,1.542,
2003-07,1.553,
2003-10,1.638,
2004-01,1.577,
2004-04,1.561,
2004-07,1.583,
2004-10,1.640,
2005-01,1.635,
2005-04,1.630,
2005-07,1.665,
2005-10,1.768,
2006-01,1.704,
2006-04,1.731,
2006-07,1.781,
2006-10,1.914,
2007-01,1.901,
2007-04,1.909,
2007-07,1.961,
2007-10,2.094,
2008-01,2.022,
2008-04,2.016,
2008-07,2.058,
2008-10,2.338,
2009-01,2.224,
2009-04,2.244,
2009-07,2.285,
2009-10,2.424,
2010-01,2.329,
2010-04,2.318,
2010-07,2.415,
2010-10,2.593,
2011-01,2.515,
2011-04,2.474,
2011-07,2.533,
2011-10,2.740,
2012-01,2.659,
2012-04,2.653,
2012-07,2.721,
2012-10,2.954,
2013-01,2.860,
2013-04,2.811,
2013-07,2.974,
2013-10,3.169,
2014-01,3.172,
2014-04,3.207,
2014-07,3.274,
