"",BBFN1.M.DE.N.1.A.TR.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TR.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Turkey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:38,
1982-09,0.010,
1982-10,0.009,
1982-11,0.010,
1982-12,0.010,
1983-01,0.010,
1983-02,0.010,
1983-03,0.010,
1983-04,0.010,
1983-05,0.010,
1983-06,0.010,
1983-07,0.010,
1983-08,0.009,
1983-09,0.010,
1983-10,0.010,
1983-11,0.010,
1983-12,0.010,
1984-01,0.010,
1984-02,0.010,
1984-03,0.011,
1984-04,0.010,
1984-05,0.010,
1984-06,0.010,
1984-07,0.010,
1984-08,0.013,
1984-09,0.013,
1984-10,0.013,
1984-11,0.013,
1984-12,0.013,
1985-01,0.012,
1985-02,0.012,
1985-03,0.012,
1985-04,0.018,
1985-05,0.017,
1985-06,0.017,
1985-07,0.017,
1985-08,0.022,
1985-09,0.026,
1985-10,0.025,
1985-11,0.023,
1985-12,0.023,
1986-01,0.023,
1986-02,0.022,
1986-03,0.022,
1986-04,0.022,
1986-05,0.024,
1986-06,0.023,
1986-07,0.023,
1986-08,0.026,
1986-09,0.026,
1986-10,0.027,
1986-11,0.024,
1986-12,0.023,
1987-01,0.024,
1987-02,0.023,
1987-03,0.023,
1987-04,0.023,
1987-05,0.024,
1987-06,0.024,
1987-07,0.024,
1987-08,0.024,
1987-09,0.024,
1987-10,0.023,
1987-11,0.022,
1987-12,0.022,
1988-01,0.022,
1988-02,0.021,
1988-03,0.021,
1988-04,0.021,
1988-05,0.021,
1988-06,0.021,
1988-07,0.022,
1988-08,0.023,
1988-09,0.028,
1988-10,0.029,
1988-11,0.031,
1988-12,0.027,
1989-01,0.028,
1989-02,0.027,
1989-03,0.039,
1989-04,0.039,
1989-05,0.039,
1989-06,0.038,
1989-07,0.039,
1989-08,0.039,
1989-09,0.041,
1989-10,0.041,
1989-11,0.040,
1989-12,0.040,
1990-01,0.040,
1990-02,0.040,
1990-03,0.042,
1990-04,0.043,
1990-05,0.043,
1990-06,0.045,
1990-07,0.045,
1990-08,0.047,
1990-09,0.049,
1990-10,0.050,
1990-11,0.049,
1990-12,0.053,
1991-01,0.053,
1991-02,0.052,
1991-03,0.052,
1991-04,0.052,
1991-05,0.052,
1991-06,0.052,
1991-07,0.057,
1991-08,0.057,
1991-09,0.058,
1991-10,0.059,
1991-11,0.059,
1991-12,0.062,
1992-01,0.062,
1992-02,0.062,
1992-03,0.060,
1992-04,0.064,
1992-05,0.064,
1992-06,0.060,
1992-07,0.061,
1992-08,0.062,
1992-09,0.066,
1992-10,0.066,
1992-11,0.057,
1992-12,0.068,
1993-01,0.069,
1993-02,0.069,
1993-03,0.069,
1993-04,0.073,
1993-05,0.073,
1993-06,0.073,
1993-07,0.076,
1993-08,0.080,
1993-09,0.083,
1993-10,0.088,
1993-11,0.087,
1993-12,0.092,
1994-01,0.092,
1994-02,0.091,
1994-03,0.093,
1994-04,0.100,
1994-05,0.103,
1994-06,0.109,
1994-07,0.106,
1994-08,0.109,
1994-09,0.107,
1994-10,0.108,
1994-11,0.108,
1994-12,0.084,
1995-01,0.087,
1995-02,0.087,
1995-03,0.085,
1995-04,0.085,
1995-05,0.085,
1995-06,0.078,
1995-07,0.078,
1995-08,0.077,
1995-09,0.078,
1995-10,0.079,
1995-11,0.074,
1995-12,0.070,
1996-01,0.072,
1996-02,0.075,
1996-03,0.079,
1996-04,0.074,
1996-05,0.070,
