"",BBK01.OEBI09G,BBK01.OEBI09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:06,
2002-01,2.216,
2002-04,2.062,
2002-07,2.066,
2002-10,1.970,
2003-01,1.833,
2003-04,1.719,
2003-07,1.551,
2003-10,1.499,
2004-01,1.450,
2004-04,1.407,
2004-07,1.359,
2004-10,1.467,
2005-01,1.198,
2005-04,1.157,
2005-07,0.841,
2005-10,0.810,
2006-01,0.815,
2006-04,0.896,
2006-07,1.017,
2006-10,1.132,
2007-01,1.532,
2007-04,1.727,
2007-07,1.865,
2007-10,2.104,
2008-01,2.214,
2008-04,2.323,
2008-07,2.462,
2008-10,3.509,
2009-01,3.415,
2009-04,3.367,
2009-07,3.341,
2009-10,2.687,
2010-01,2.204,
2010-04,2.128,
2010-07,2.032,
2010-10,2.458,
2011-01,2.780,
2011-04,2.871,
2011-07,2.827,
2011-10,2.700,
2012-01,2.574,
2012-04,2.649,
2012-07,2.485,
2012-10,2.148,
2013-01,1.762,
2013-04,1.420,
2013-07,1.313,
2013-10,1.248,
2014-01,1.377,
2014-04,1.303,
2014-07,1.411,
