"",BBK01.OEHK01O,BBK01.OEHK01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:25,
2002-01,1.614,
2002-04,1.600,
2002-07,1.644,
2002-10,1.687,
2003-01,1.679,
2003-04,1.708,
2003-07,1.727,
2003-10,1.725,
2004-01,1.721,
2004-04,1.725,
2004-07,1.756,
2004-10,1.770,
2005-01,1.732,
2005-04,1.750,
2005-07,1.805,
2005-10,1.819,
2006-01,1.824,
2006-04,1.832,
2006-07,1.904,
2006-10,2.024,
2007-01,2.001,
2007-04,2.037,
2007-07,2.091,
2007-10,2.229,
2008-01,2.191,
2008-04,2.251,
2008-07,2.306,
2008-10,2.539,
2009-01,2.384,
2009-04,2.316,
2009-07,2.289,
2009-10,2.319,
2010-01,2.254,
2010-04,2.296,
2010-07,2.401,
2010-10,2.493,
2011-01,2.413,
2011-04,2.417,
2011-07,2.503,
2011-10,2.613,
2012-01,2.570,
2012-04,2.623,
2012-07,2.682,
2012-10,2.739,
2013-01,2.675,
2013-04,2.715,
2013-07,2.784,
2013-10,2.900,
2014-01,2.876,
2014-04,2.904,
2014-07,2.975,
