"",BBK01.OEAH96G,BBK01.OEAH96G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:41,
2002-01,2.089,
2002-04,1.989,
2002-07,1.984,
2002-10,2.091,
2003-01,2.140,
2003-04,2.144,
2003-07,2.180,
2003-10,2.213,
2004-01,2.218,
2004-04,2.218,
2004-07,2.209,
2004-10,2.238,
2005-01,1.905,
2005-04,1.821,
2005-07,1.801,
2005-10,1.825,
2006-01,1.811,
2006-04,1.770,
2006-07,1.721,
2006-10,1.693,
2007-01,1.656,
2007-04,1.618,
2007-07,1.584,
2007-10,1.610,
2008-01,1.615,
2008-04,1.599,
2008-07,1.565,
2008-10,1.639,
2009-01,1.709,
2009-04,1.756,
2009-07,1.806,
2009-10,1.891,
2010-01,1.941,
2010-04,1.971,
2010-07,2.019,
2010-10,2.086,
2011-01,2.144,
2011-04,2.141,
2011-07,2.114,
2011-10,2.130,
2012-01,2.139,
2012-04,2.139,
2012-07,2.117,
2012-10,2.115,
2013-01,2.080,
2013-04,2.089,
2013-07,2.078,
2013-10,2.056,
2014-01,2.025,
2014-04,1.990,
2014-07,1.942,
