"",BBK01.OEAD38L,BBK01.OEAD38L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:05,
2002-01,2.648,
2002-04,2.666,
2002-07,2.590,
2002-10,1.893,
2003-01,1.867,
2003-04,1.743,
2003-07,1.795,
2003-10,1.753,
2004-01,1.724,
2004-04,1.693,
2004-07,1.648,
2004-10,1.678,
2005-01,1.600,
2005-04,1.587,
2005-07,1.607,
2005-10,1.571,
2006-01,1.534,
2006-04,1.518,
2006-07,1.427,
2006-10,1.444,
2007-01,1.447,
2007-04,1.479,
2007-07,1.511,
2007-10,1.590,
2008-01,1.784,
2008-04,1.729,
2008-07,1.762,
2008-10,1.609,
2009-01,1.544,
2009-04,1.543,
2009-07,1.358,
2009-10,1.293,
2010-01,1.140,
2010-04,1.156,
2010-07,1.155,
2010-10,1.106,
2011-01,1.117,
2011-04,1.092,
2011-07,1.083,
2011-10,0.985,
2012-01,0.963,
2012-04,0.944,
2012-07,0.946,
2012-10,0.882,
2013-01,0.848,
2013-04,0.871,
2013-07,0.845,
2013-10,0.820,
2014-01,0.809,
2014-04,0.847,
2014-07,0.823,
