"",BBK01.OEHI04G,BBK01.OEHI04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:43,
2002-01,10.285,
2002-04,10.157,
2002-07,10.167,
2002-10,10.582,
2003-01,10.188,
2003-04,9.736,
2003-07,9.364,
2003-10,9.502,
2004-01,8.629,
2004-04,8.430,
2004-07,8.470,
2004-10,8.863,
2005-01,7.391,
2005-04,7.068,
2005-07,7.255,
2005-10,8.130,
2006-01,7.833,
2006-04,8.059,
2006-07,8.368,
2006-10,8.810,
2007-01,8.888,
2007-04,9.251,
2007-07,9.859,
2007-10,11.176,
2008-01,11.583,
2008-04,12.642,
2008-07,13.674,
2008-10,15.351,
2009-01,11.769,
2009-04,9.756,
2009-07,8.046,
2009-10,7.753,
2010-01,6.652,
2010-04,6.741,
2010-07,6.848,
2010-10,7.391,
2011-01,6.898,
2011-04,7.605,
2011-07,8.298,
2011-10,9.201,
2012-01,8.209,
2012-04,7.437,
2012-07,7.321,
2012-10,6.967,
2013-01,6.394,
2013-04,5.749,
2013-07,5.859,
2013-10,6.139,
2014-01,6.127,
2014-04,6.307,
2014-07,6.124,
