"",BBK01.OEAK02N,BBK01.OEAK02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:13,
2002-01,10.825,
2002-04,11.206,
2002-07,11.229,
2002-10,11.752,
2003-01,11.950,
2003-04,12.072,
2003-07,12.353,
2003-10,12.864,
2004-01,12.658,
2004-04,12.770,
2004-07,12.828,
2004-10,12.077,
2005-01,12.382,
2005-04,13.478,
2005-07,13.231,
2005-10,13.723,
2006-01,13.519,
2006-04,13.712,
2006-07,13.530,
2006-10,14.383,
2007-01,14.015,
2007-04,14.143,
2007-07,14.056,
2007-10,14.751,
2008-01,14.126,
2008-04,14.051,
2008-07,13.929,
2008-10,15.135,
2009-01,16.475,
2009-04,18.293,
2009-07,19.320,
2009-10,20.811,
2010-01,20.917,
2010-04,21.636,
2010-07,21.907,
2010-10,22.565,
2011-01,21.798,
2011-04,21.499,
2011-07,22.013,
2011-10,22.970,
2012-01,23.165,
2012-04,23.927,
2012-07,24.593,
2012-10,25.432,
2013-01,25.512,
2013-04,26.353,
2013-07,27.318,
2013-10,28.440,
2014-01,28.263,
2014-04,28.292,
2014-07,29.121,
