"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:12,
2009-09,56935,
2009-10,54946,
2009-11,55730,
2009-12,58041,
2010-01,54615,
2010-02,55501,
2010-03,60885,
2010-04,67038,
2010-05,67347,
2010-06,58504,
2010-07,59916,
2010-08,58110,
2010-09,61302,
2010-10,66024,
2010-11,67129,
2010-12,70328,
2011-01,71498,
2011-02,72607,
2011-03,72156,
2011-04,76089,
2011-05,74660,
2011-06,74986,
2011-07,75682,
2011-08,62216,
2011-09,59173,
2011-10,66380,
2011-11,64245,
2011-12,62898,
2012-01,68148,
2012-02,72027,
2012-03,72900,
2012-04,70279,
2012-05,66221,
2012-06,66096,
2012-07,70121,
2012-08,71120,
2012-09,72944,
2012-10,73570,
2012-11,75061,
2012-12,77810,
2013-01,79321,
2013-02,79356,
2013-03,79538,
2013-04,79735,
2013-05,83172,
2013-06,77990,
2013-07,81798,
2013-08,79985,
2013-09,83874,
2013-10,87937,
2013-11,92541,
2013-12,92655,
2014-01,88747,
2014-02,91920,
2014-03,90648,
2014-04,91609,
2014-05,91899,
2014-06,90446,
2014-07,85638,
2014-08,86321,
2014-09,82925,
2014-10,82098,
2014-11,85412,
