"",BBK01.OECJ05I,BBK01.OECJ05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:36,
2002-01,0.042,
2002-04,0.043,
2002-07,0.043,
2002-10,0.043,
2003-01,0.036,
2003-04,0.035,
2003-07,0.029,
2003-10,0.029,
2004-01,0.028,
2004-04,0.029,
2004-07,0.110,
2004-10,0.110,
2005-01,0.225,
2005-04,0.225,
2005-07,0.219,
2005-10,0.217,
2006-01,0.216,
2006-04,0.227,
2006-07,0.232,
2006-10,0.233,
2007-01,0.268,
2007-04,0.266,
2007-07,0.265,
2007-10,0.270,
2008-01,0.269,
2008-04,0.299,
2008-07,0.359,
2008-10,0.343,
2009-01,0.342,
2009-04,0.365,
2009-07,0.434,
2009-10,0.424,
2010-01,0.434,
2010-04,0.426,
2010-07,0.426,
2010-10,0.421,
2011-01,0.367,
2011-04,0.359,
2011-07,0.354,
2011-10,0.352,
2012-01,0.357,
2012-04,0.409,
2012-07,0.403,
2012-10,0.408,
2013-01,0.405,
2013-04,0.400,
2013-07,0.403,
2013-10,0.416,
2014-01,0.412,
2014-04,0.364,
2014-07,0.429,
