"",BBK01.OEXB13V,BBK01.OEXB13V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:34,
2002-01,1.494,
2002-04,1.495,
2002-07,1.484,
2002-10,1.446,
2003-01,1.444,
2003-04,1.337,
2003-07,1.332,
2003-10,1.311,
2004-01,1.322,
2004-04,1.203,
2004-07,1.185,
2004-10,1.173,
2005-01,1.133,
2005-04,1.123,
2005-07,0.988,
2005-10,0.998,
2006-01,1.015,
2006-04,1.035,
2006-07,1.045,
2006-10,1.069,
2007-01,1.110,
2007-04,1.122,
2007-07,1.139,
2007-10,1.189,
2008-01,1.158,
2008-04,1.185,
2008-07,1.181,
2008-10,1.226,
2009-01,1.228,
2009-04,1.242,
2009-07,1.247,
2009-10,1.290,
2010-01,1.295,
2010-04,1.311,
2010-07,1.327,
2010-10,1.320,
2011-01,1.326,
2011-04,1.324,
2011-07,1.340,
2011-10,1.330,
2012-01,1.334,
2012-04,1.340,
2012-07,1.321,
2012-10,1.353,
2013-01,1.362,
2013-04,1.376,
2013-07,1.384,
2013-10,1.386,
2014-01,1.382,
2014-04,1.398,
2014-07,1.406,
