"",BBK01.OEAE28N,BBK01.OEAE28N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:44,
2002-01,81.022,
2002-04,81.910,
2002-07,82.227,
2002-10,84.269,
2003-01,80.442,
2003-04,80.153,
2003-07,80.716,
2003-10,76.579,
2004-01,76.963,
2004-04,77.415,
2004-07,78.430,
2004-10,79.524,
2005-01,81.011,
2005-04,81.983,
2005-07,82.575,
2005-10,84.232,
2006-01,95.273,
2006-04,96.374,
2006-07,97.340,
2006-10,97.214,
2007-01,97.697,
2007-04,98.663,
2007-07,98.713,
2007-10,100.200,
2008-01,100.476,
2008-04,103.036,
2008-07,102.519,
2008-10,101.075,
2009-01,99.780,
2009-04,102.763,
2009-07,103.570,
2009-10,107.018,
2010-01,105.746,
2010-04,106.413,
2010-07,109.128,
2010-10,110.641,
2011-01,111.791,
2011-04,112.622,
2011-07,112.928,
2011-10,113.817,
2012-01,114.446,
2012-04,105.501,
2012-07,106.337,
2012-10,106.383,
2013-01,106.905,
2013-04,108.012,
2013-07,107.589,
2013-10,108.208,
2014-01,108.942,
2014-04,109.204,
2014-07,109.079,
