"",BBK01.CEFBN0,BBK01.CEFBN0_FLAGS
"",long-term debt securities                         debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:25,
1999-01,391.7,
1999-04,403.0,
1999-07,402.3,
1999-10,415.2,
2000-01,445.4,
2000-04,451.0,
2000-07,477.1,
2000-10,491.8,
2001-01,571.6,
2001-04,558.7,
2001-07,588.1,
2001-10,593.2,
2002-01,592.4,
2002-04,594.7,
2002-07,629.0,
2002-10,644.7,
2003-01,669.2,
2003-04,699.8,
2003-07,676.6,
2003-10,650.7,
2004-01,697.5,
2004-04,700.8,
2004-07,728.5,
2004-10,750.5,
2005-01,806.6,
2005-04,885.4,
2005-07,890.5,
2005-10,907.9,
2006-01,968.4,
2006-04,980.5,
2006-07,1024.0,
2006-10,1060.2,
2007-01,1110.1,
2007-04,1130.3,
2007-07,1135.7,
2007-10,1142.4,
2008-01,1182.7,
2008-04,1202.6,
2008-07,1202.8,
2008-10,1219.4,
2009-01,1221.3,
2009-04,1250.7,
2009-07,1299.3,
2009-10,1333.7,
2010-01,1376.2,
2010-04,1395.9,
2010-07,1415.9,
2010-10,1452.7,
2011-01,1432.6,
2011-04,1436.3,
2011-07,1451.9,
2011-10,1457.6,
2012-01,1520.4,
2012-04,1551.9,
2012-07,1584.4,
2012-10,1630.4,
2013-01,1594.2,
2013-04,1582.7,
2013-07,1577.1,
2013-10,1596.3,
2014-01,1649.8,
2014-04,1697.2,
2014-07,1746.3,
