"",BBK01.OECB10O,BBK01.OECB10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:02,
2002-01,1.086,
2002-04,1.112,
2002-07,0.952,
2002-10,0.902,
2003-01,0.927,
2003-04,0.829,
2003-07,0.696,
2003-10,0.788,
2004-01,0.771,
2004-04,0.696,
2004-07,0.716,
2004-10,0.855,
2005-01,0.795,
2005-04,0.780,
2005-07,0.748,
2005-10,0.790,
2006-01,0.705,
2006-04,0.843,
2006-07,0.776,
2006-10,0.768,
2007-01,0.848,
2007-04,0.894,
2007-07,0.828,
2007-10,0.853,
2008-01,0.886,
2008-04,0.837,
2008-07,0.922,
2008-10,0.877,
2009-01,0.905,
2009-04,0.751,
2009-07,0.672,
2009-10,0.523,
2010-01,0.680,
2010-04,0.731,
2010-07,0.688,
2010-10,0.537,
2011-01,0.663,
2011-04,0.896,
2011-07,0.726,
2011-10,0.681,
2012-01,0.734,
2012-04,0.729,
2012-07,0.678,
2012-10,0.626,
2013-01,0.758,
2013-04,0.718,
2013-07,0.713,
2013-10,0.653,
2014-01,0.790,
2014-04,0.892,
2014-07,0.767,
