"",BBK01.OEBK02N,BBK01.OEBK02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:58,
2002-01,3.853,
2002-04,4.189,
2002-07,4.102,
2002-10,4.379,
2003-01,4.460,
2003-04,4.394,
2003-07,4.552,
2003-10,4.784,
2004-01,4.699,
2004-04,4.699,
2004-07,4.703,
2004-10,3.591,
2005-01,4.039,
2005-04,4.814,
2005-07,4.282,
2005-10,4.288,
2006-01,4.332,
2006-04,4.360,
2006-07,4.231,
2006-10,4.292,
2007-01,4.345,
2007-04,4.563,
2007-07,4.518,
2007-10,4.632,
2008-01,4.531,
2008-04,4.581,
2008-07,4.566,
2008-10,4.790,
2009-01,5.497,
2009-04,6.293,
2009-07,6.478,
2009-10,6.916,
2010-01,6.898,
2010-04,7.279,
2010-07,7.367,
2010-10,7.430,
2011-01,7.172,
2011-04,7.037,
2011-07,7.155,
2011-10,7.126,
2012-01,7.491,
2012-04,7.769,
2012-07,7.641,
2012-10,7.784,
2013-01,7.893,
2013-04,8.312,
2013-07,8.755,
2013-10,8.945,
2014-01,8.563,
2014-04,8.455,
2014-07,8.730,
