"",BBK01.OEBO01O,BBK01.OEBO01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:30,
2002-01,-23.640,
2002-04,-24.256,
2002-07,-24.707,
2002-10,-26.907,
2003-01,-28.736,
2003-04,-29.565,
2003-07,-30.017,
2003-10,-31.504,
2004-01,-33.007,
2004-04,-33.469,
2004-07,-33.798,
2004-10,-33.859,
2005-01,3.117,
2005-04,3.142,
2005-07,3.131,
2005-10,3.025,
2006-01,3.005,
2006-04,2.871,
2006-07,2.820,
2006-10,2.735,
2007-01,2.731,
2007-04,2.909,
2007-07,2.943,
2007-10,2.945,
2008-01,3.070,
2008-04,3.126,
2008-07,3.185,
2008-10,3.142,
2009-01,3.493,
2009-04,3.507,
2009-07,3.636,
2009-10,3.833,
2010-01,3.775,
2010-04,3.677,
2010-07,3.594,
2010-10,3.590,
2011-01,3.835,
2011-04,3.925,
2011-07,3.851,
2011-10,3.845,
2012-01,3.798,
2012-04,3.937,
2012-07,3.873,
2012-10,3.818,
2013-01,3.773,
2013-04,3.595,
2013-07,3.478,
2013-10,3.355,
2014-01,3.307,
2014-04,3.232,
2014-07,3.162,
