"",BBK01.OEAE15K,BBK01.OEAE15K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:54,
2002-01,1.005,
2002-04,1.008,
2002-07,0.965,
2002-10,1.127,
2003-01,1.013,
2003-04,0.921,
2003-07,0.777,
2003-10,1.215,
2004-01,0.734,
2004-04,0.551,
2004-07,0.563,
2004-10,0.540,
2005-01,0.481,
2005-04,0.509,
2005-07,0.522,
2005-10,0.446,
2006-01,0.556,
2006-04,0.557,
2006-07,0.592,
2006-10,0.674,
2007-01,0.586,
2007-04,0.473,
2007-07,0.504,
2007-10,0.499,
2008-01,0.597,
2008-04,0.562,
2008-07,0.594,
2008-10,0.858,
2009-01,0.840,
2009-04,0.811,
2009-07,0.734,
2009-10,0.592,
2010-01,0.660,
2010-04,0.679,
2010-07,0.860,
2010-10,0.825,
2011-01,0.885,
2011-04,1.020,
2011-07,1.009,
2011-10,0.858,
2012-01,0.732,
2012-04,0.726,
2012-07,0.805,
2012-10,0.734,
2013-01,0.791,
2013-04,0.820,
2013-07,1.044,
2013-10,0.828,
2014-01,0.861,
2014-04,0.913,
2014-07,0.742,
