"",BBDA1.M.DE.N.IM.S.A.FI.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.FI.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Finland / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:08,
1990-07,215311,
1990-08,234099,
1990-09,237596,
1990-10,289800,
1990-11,272473,
1990-12,275002,
1991-01,320545,
1991-02,252099,
1991-03,273753,
1991-04,269620,
1991-05,324374,
1991-06,198673,
1991-07,296622,
1991-08,273954,
1991-09,262964,
1991-10,345874,
1991-11,293502,
1991-12,252585,
1992-01,230931,
1992-02,324114,
1992-03,306875,
1992-04,336759,
1992-05,264234,
1992-06,249236,
1992-07,292767,
1992-08,235461,
1992-09,292957,
1992-10,276647,
1992-11,261220,
1992-12,277863,
1993-01,195280,
1993-02,241224,
1993-03,240119,
1993-04,248626,
1993-05,238347,
1993-06,252408,
1993-07,230711,
1993-08,208485,
1993-09,231523,
1993-10,253631,
1993-11,265033,
1993-12,282885,
1994-01,205714,
1994-02,264184,
1994-03,283916,
1994-04,346663,
1994-05,317875,
1994-06,293255,
1994-07,311510,
1994-08,267612,
1994-09,298830,
1994-10,296681,
1994-11,340824,
1994-12,355433,
1995-01,293339,
1995-02,282783,
1995-03,353886,
1995-04,315066,
1995-05,315216,
1995-06,314895,
1995-07,300156,
1995-08,283394,
1995-09,328624,
1995-10,286090,
1995-11,260116,
1995-12,323090,
1996-01,301921,
1996-02,267000,
1996-03,295214,
1996-04,288864,
1996-05,258803,
1996-06,289866,
1996-07,278915,
1996-08,268016,
1996-09,302007,
1996-10,299254,
1996-11,277327,
1996-12,360123,
1997-01,279349,
1997-02,256647,
1997-03,279148,
1997-04,301492,
1997-05,330312,
1997-06,270749,
1997-07,346617,
1997-08,370885,
1997-09,356827,
1997-10,327804,
1997-11,363921,
1997-12,375930,
1998-01,295724,
1998-02,394666,
1998-03,356396,
1998-04,443442,
1998-05,320440,
1998-06,343108,
1998-07,376035,
1998-08,366745,
1998-09,340884,
1998-10,376085,
1998-11,354887,
1998-12,371666,
1999-01,363713,
1999-02,409324,
1999-03,365816,
1999-04,358407,
1999-05,401611,
1999-06,420253,
1999-07,374140,
1999-08,318376,
1999-09,364711,
1999-10,398682,
1999-11,476555,
1999-12,423676,
