"",BBK01.OEYB02N,BBK01.OEYB02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:26,
2002-01,11.855,
2002-04,10.222,
2002-07,10.653,
2002-10,10.348,
2003-01,12.165,
2003-04,10.985,
2003-07,9.250,
2003-10,9.138,
2004-01,12.324,
2004-04,10.055,
2004-07,8.273,
2004-10,10.683,
2005-01,13.099,
2005-04,9.935,
2005-07,10.312,
2005-10,11.246,
2006-01,13.042,
2006-04,16.832,
2006-07,20.239,
2006-10,23.061,
2007-01,20.411,
2007-04,20.600,
2007-07,19.149,
2007-10,20.904,
2008-01,15.261,
2008-04,18.589,
2008-07,19.796,
2008-10,18.724,
2009-01,14.630,
2009-04,17.749,
2009-07,16.441,
2009-10,16.853,
2010-01,17.929,
2010-04,35.167,
2010-07,25.186,
2010-10,24.317,
2011-01,19.718,
2011-04,18.271,
2011-07,22.424,
2011-10,19.418,
2012-01,21.957,
2012-04,22.830,
2012-07,18.205,
2012-10,6.072,
2013-01,9.027,
2013-04,8.073,
2013-07,6.034,
2013-10,5.840,
2014-01,6.186,
2014-04,5.875,
2014-07,6.636,
