"",BBK01.OELB03K,BBK01.OELB03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:46,
2002-01,0.260,
2002-04,0.278,
2002-07,0.289,
2002-10,0.266,
2003-01,0.258,
2003-04,0.257,
2003-07,0.273,
2003-10,0.274,
2004-01,0.270,
2004-04,0.248,
2004-07,0.247,
2004-10,0.269,
2005-01,0.260,
2005-04,0.254,
2005-07,0.269,
2005-10,0.262,
2006-01,0.256,
2006-04,0.246,
2006-07,0.245,
2006-10,0.217,
2007-01,0.214,
2007-04,0.208,
2007-07,0.198,
2007-10,0.172,
2008-01,0.173,
2008-04,0.179,
2008-07,0.173,
2008-10,0.176,
2009-01,0.175,
2009-04,0.167,
2009-07,0.152,
2009-10,0.152,
2010-01,0.145,
2010-04,0.138,
2010-07,0.139,
2010-10,0.138,
2011-01,0.143,
2011-04,0.184,
2011-07,0.175,
2011-10,0.179,
2012-01,0.172,
2012-04,0.219,
2012-07,0.232,
2012-10,0.228,
2013-01,0.236,
2013-04,0.238,
2013-07,0.253,
2013-10,0.246,
2014-01,0.255,
2014-04,0.249,
2014-07,0.250,
