"",BBFN1.M.DE.N.1.A.F1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.F1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Countries in Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:03,
1995-01,4.128,
1995-02,4.100,
1995-03,4.139,
1995-04,4.170,
1995-05,4.203,
1995-06,4.220,
1995-07,4.174,
1995-08,4.069,
1995-09,4.074,
1995-10,3.936,
1995-11,3.971,
1995-12,3.974,
1996-01,3.913,
1996-02,3.930,
1996-03,4.099,
1996-04,4.015,
1996-05,4.028,
1996-06,3.987,
1996-07,4.041,
1996-08,3.942,
1996-09,3.976,
1996-10,3.944,
1996-11,3.929,
1996-12,3.940,
1997-01,3.836,
1997-02,3.921,
1997-03,3.811,
1997-04,3.929,
1997-05,3.843,
1997-06,3.868,
1997-07,3.922,
1997-08,4.038,
1997-09,4.012,
1997-10,4.038,
1997-11,4.045,
1997-12,3.992,
1998-01,3.926,
1998-02,4.149,
1998-03,4.071,
1998-04,4.154,
1998-05,4.224,
1998-06,4.355,
1998-07,4.274,
1998-08,4.260,
1998-09,4.253,
1998-10,4.252,
1998-11,4.217,
1998-12,4.376,
1999-01,4.137,
1999-02,4.073,
1999-03,4.079,
1999-04,3.975,
1999-05,4.261,
1999-06,4.266,
1999-07,4.515,
1999-08,4.435,
1999-09,4.515,
1999-10,4.561,
1999-11,4.477,
1999-12,4.564,
2000-01,4.707,
2000-02,4.676,
2000-03,4.737,
2000-04,4.790,
2000-05,4.841,
2000-06,4.726,
2000-07,4.869,
2000-08,4.939,
2000-09,4.946,
2000-10,4.937,
2000-11,5.162,
2000-12,5.174,
2001-01,5.082,
2001-02,5.114,
2001-03,5.139,
2001-04,5.233,
2001-05,5.435,
2001-06,5.530,
2001-07,5.431,
2001-08,5.624,
2001-09,5.798,
2001-10,5.583,
2001-11,5.599,
2001-12,5.455,
2002-01,5.220,
2002-02,5.173,
2002-03,5.114,
2002-04,5.288,
2002-05,5.562,
2002-06,5.527,
2002-07,5.422,
2002-08,5.132,
2002-09,5.227,
2002-10,5.222,
2002-11,5.334,
2002-12,5.332,
2003-01,4.981,
2003-02,5.202,
2003-03,4.934,
2003-04,4.893,
2003-05,4.740,
2003-06,4.572,
2003-07,4.350,
2003-08,4.549,
2003-09,4.509,
2003-10,4.462,
2003-11,4.468,
2003-12,4.484,
2004-01,4.326,
2004-02,4.301,
2004-03,4.347,
2004-04,4.354,
2004-05,4.448,
2004-06,4.560,
2004-07,4.627,
2004-08,4.677,
2004-09,4.707,
2004-10,4.673,
2004-11,4.692,
2004-12,4.553,
2005-01,4.517,
2005-02,4.692,
2005-03,4.617,
2005-04,4.656,
2005-05,4.797,
2005-06,4.907,
2005-07,4.901,
2005-08,4.860,
2005-09,5.024,
2005-10,5.083,
2005-11,5.126,
2005-12,5.109,
2006-01,4.948,
2006-02,5.046,
2006-03,5.120,
2006-04,5.219,
2006-05,5.259,
2006-06,5.461,
2006-07,5.502,
2006-08,5.499,
2006-09,5.427,
2006-10,5.457,
2006-11,5.396,
2006-12,5.373,
2007-01,5.188,
2007-02,5.310,
2007-03,5.224,
2007-04,5.375,
2007-05,5.279,
2007-06,5.365,
2007-07,5.413,
2007-08,5.572,
2007-09,5.579,
2007-10,5.563,
2007-11,5.661,
2007-12,5.728,
2008-01,5.685,
2008-02,5.784,
2008-03,5.869,
2008-04,6.095,
2008-05,6.111,
2008-06,6.496,
2008-07,6.465,
2008-08,6.694,
2008-09,6.477,
2008-10,6.484,
2008-11,6.447,
2008-12,6.429,
2009-01,6.070,
2009-02,6.116,
2009-03,6.117,
2009-04,6.087,
2009-05,6.267,
2009-06,6.473,
2009-07,6.524,
2009-08,6.621,
2009-09,6.642,
2009-10,6.681,
2009-11,6.777,
2009-12,6.884,
2010-01,6.949,
2010-02,7.125,
2010-03,7.404,
2010-04,7.354,
2010-05,7.501,
2010-06,7.596,
2010-07,7.634,
2010-08,7.700,
2010-09,7.824,
2010-10,7.901,
2010-11,7.791,
2010-12,7.759,
2011-01,7.614,
2011-02,7.721,
2011-03,7.791,
2011-04,7.703,
2011-05,7.864,
2011-06,7.991,
2011-07,8.142,
2011-08,8.144,
2011-09,8.209,
2011-10,8.298,
2011-11,8.282,
2011-12,8.339,
2012-01,8.062,
2012-02,8.198,
2012-03,8.358,
2012-04,8.499,
2012-05,8.393,
2012-06,8.382,
2012-07,8.500,
2012-08,8.406,
2012-09,8.481,
2012-10,8.592,
2012-11,8.621,
2012-12,8.505,
2013-01,8.522,
2013-02,8.698,
2013-03,8.706,
2013-04,8.618,
2013-05,8.577,
2013-06,8.722,
2013-07,8.992,
2013-08,9.266,
2013-09,9.023,
2013-10,8.873,
2013-11,8.857,
2013-12,9.005,
2014-01,8.717,
2014-02,8.719,
2014-03,8.377,
2014-04,8.482,
2014-05,8.621,
2014-06,8.743,
2014-07,8.710,
2014-08,8.882,
2014-09,9.142,
2014-10,9.249,
2014-11,9.359,
2014-12,9.668,
