"",BBK01.OEYB04Q,BBK01.OEYB04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:05,
2002-01,42.824,
2002-04,42.302,
2002-07,38.618,
2002-10,38.888,
2003-01,38.592,
2003-04,45.884,
2003-07,45.714,
2003-10,45.687,
2004-01,45.829,
2004-04,36.014,
2004-07,35.704,
2004-10,37.788,
2005-01,36.963,
2005-04,38.324,
2005-07,38.537,
2005-10,38.641,
2006-01,38.740,
2006-04,42.095,
2006-07,38.829,
2006-10,41.559,
2007-01,45.501,
2007-04,43.109,
2007-07,35.371,
2007-10,34.362,
2008-01,30.739,
2008-04,30.161,
2008-07,30.799,
2008-10,31.289,
2009-01,31.193,
2009-04,30.124,
2009-07,32.169,
2009-10,40.283,
2010-01,39.981,
2010-04,39.113,
2010-07,30.916,
2010-10,30.571,
2011-01,29.993,
2011-04,29.062,
2011-07,23.359,
2011-10,25.453,
2012-01,25.489,
2012-04,26.749,
2012-07,25.947,
2012-10,33.048,
2013-01,31.868,
2013-04,29.246,
2013-07,28.663,
2013-10,34.896,
2014-01,33.447,
2014-04,32.717,
2014-07,32.722,
