"",BBK01.CELK05,BBK01.CELK05_FLAGS
"",Other equity                                            debtor: Total            creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:24,
1999-01,1.8,
1999-04,1.3,
1999-07,-0.4,
1999-10,4.5,
2000-01,3.2,
2000-04,2.3,
2000-07,1.5,
2000-10,2.2,
2001-01,-2.8,
2001-04,-0.8,
2001-07,4.1,
2001-10,-1.2,
2002-01,-0.5,
2002-04,-4.2,
2002-07,-0.9,
2002-10,-0.1,
2003-01,1.0,
2003-04,-5.0,
2003-07,1.8,
2003-10,4.3,
2004-01,-8.4,
2004-04,1.4,
2004-07,1.9,
2004-10,0.9,
2005-01,-0.3,
2005-04,0.2,
2005-07,4.6,
2005-10,-4.8,
2006-01,1.3,
2006-04,3.6,
2006-07,8.0,
2006-10,11.0,
2007-01,-0.8,
2007-04,2.3,
2007-07,3.8,
2007-10,0.2,
2008-01,5.7,
2008-04,5.7,
2008-07,-4.2,
2008-10,-7.6,
2009-01,6.2,
2009-04,5.6,
2009-07,1.7,
2009-10,1.3,
2010-01,14.2,
2010-04,3.6,
2010-07,2.1,
2010-10,3.0,
2011-01,0.0,
2011-04,12.4,
2011-07,0.6,
2011-10,4.3,
2012-01,3.6,
2012-04,5.0,
2012-07,5.0,
2012-10,-4.8,
2013-01,5.1,
2013-04,-0.4,
2013-07,1.7,
2013-10,0.3,
2014-01,2.2,
2014-04,2.3,
2014-07,2.4,
