"",BBK01.OEAA37U,BBK01.OEAA37U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:54,
2002-01,7.184,
2002-04,7.233,
2002-07,7.283,
2002-10,7.616,
2003-01,7.643,
2003-04,7.755,
2003-07,7.878,
2003-10,7.964,
2004-01,8.003,
2004-04,7.996,
2004-07,8.052,
2004-10,8.136,
2005-01,8.495,
2005-04,8.459,
2005-07,8.694,
2005-10,8.626,
2006-01,8.601,
2006-04,8.670,
2006-07,8.740,
2006-10,8.744,
2007-01,8.628,
2007-04,8.587,
2007-07,8.512,
2007-10,8.541,
2008-01,8.186,
2008-04,8.069,
2008-07,8.019,
2008-10,7.951,
2009-01,7.879,
2009-04,8.301,
2009-07,8.449,
2009-10,8.420,
2010-01,8.382,
2010-04,8.413,
2010-07,8.417,
2010-10,8.394,
2011-01,8.407,
2011-04,8.424,
2011-07,8.476,
2011-10,8.470,
2012-01,8.452,
2012-04,8.546,
2012-07,8.634,
2012-10,8.654,
2013-01,8.673,
2013-04,8.772,
2013-07,8.913,
2013-10,8.991,
2014-01,9.044,
2014-04,9.070,
2014-07,9.158,
