"",BBK01.OEYB11J,BBK01.OEYB11J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:51,
2002-01,0.395,
2002-04,0.383,
2002-07,0.421,
2002-10,0.393,
2003-01,0.466,
2003-04,0.536,
2003-07,0.565,
2003-10,0.463,
2004-01,0.476,
2004-04,0.488,
2004-07,0.506,
2004-10,0.539,
2005-01,0.563,
2005-04,0.564,
2005-07,0.636,
2005-10,0.708,
2006-01,0.761,
2006-04,0.743,
2006-07,0.882,
2006-10,0.434,
2007-01,0.454,
2007-04,0.499,
2007-07,0.568,
2007-10,0.583,
2008-01,0.617,
2008-04,0.629,
2008-07,0.661,
2008-10,0.703,
2009-01,0.673,
2009-04,0.701,
2009-07,0.696,
2009-10,0.710,
2010-01,0.677,
2010-04,1.404,
2010-07,1.239,
2010-10,1.176,
2011-01,1.108,
2011-04,1.011,
2011-07,0.906,
2011-10,0.885,
2012-01,0.750,
2012-04,0.790,
2012-07,0.852,
2012-10,0.756,
2013-01,0.800,
2013-04,0.775,
2013-07,0.846,
2013-10,0.849,
2014-01,0.783,
2014-04,0.772,
2014-07,0.910,
