"",BBK01.OEYK04Q,BBK01.OEYK04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:09,
2002-01,0.032,
2002-04,0.027,
2002-07,0.028,
2002-10,0.026,
2003-01,0.020,
2003-04,0.012,
2003-07,0.009,
2003-10,0.018,
2004-01,0.008,
2004-04,0.004,
2004-07,0.004,
2004-10,0.114,
2005-01,0.227,
2005-04,0.095,
2005-07,0.091,
2005-10,0.044,
2006-01,0.035,
2006-04,0.035,
2006-07,0.046,
2006-10,0.068,
2007-01,0.078,
2007-04,0.092,
2007-07,0.166,
2007-10,0.232,
2008-01,0.160,
2008-04,0.159,
2008-07,0.170,
2008-10,0.192,
2009-01,0.042,
2009-04,0.026,
2009-07,0.019,
2009-10,0.016,
2010-01,0.016,
2010-04,0.018,
2010-07,0.017,
2010-10,0.021,
2011-01,0.019,
2011-04,0.032,
2011-07,0.040,
2011-10,0.036,
2012-01,0.047,
2012-04,0.042,
2012-07,0.029,
2012-10,0.026,
2013-01,0.013,
2013-04,0.015,
2013-07,0.015,
2013-10,0.015,
2014-01,0.016,
2014-04,0.015,
2014-07,0.011,
