"",BBFN1.M.DE.N.1.A.HU.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HU.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1997-02,0.477,
1997-03,0.495,
1997-04,0.492,
1997-05,0.484,
1997-06,0.480,
1997-07,0.529,
1997-08,0.510,
1997-09,0.471,
1997-10,0.529,
1997-11,0.536,
1997-12,0.542,
1998-01,0.543,
1998-02,0.563,
1998-03,0.587,
1998-04,0.594,
1998-05,0.607,
1998-06,0.612,
1998-07,0.619,
1998-08,0.631,
1998-09,0.633,
1998-10,0.645,
1998-11,0.652,
1998-12,0.635,
1999-01,0.632,
1999-02,0.626,
1999-03,0.660,
1999-04,0.625,
1999-05,0.626,
1999-06,0.636,
1999-07,0.640,
1999-08,0.638,
1999-09,0.634,
1999-10,0.637,
1999-11,0.648,
1999-12,0.662,
2000-01,0.661,
2000-02,0.669,
2000-03,0.672,
2000-04,0.685,
2000-05,0.698,
2000-06,0.707,
2000-07,0.703,
2000-08,0.709,
2000-09,0.703,
2000-10,0.707,
2000-11,0.711,
2000-12,0.706,
2001-01,0.710,
2001-02,0.717,
2001-03,0.742,
2001-04,0.771,
2001-05,0.772,
2001-06,0.796,
2001-07,0.789,
2001-08,0.797,
2001-09,0.799,
2001-10,0.798,
2001-11,0.378,
2001-12,0.390,
2002-01,0.387,
2002-02,0.374,
2002-03,0.347,
2002-04,0.346,
2002-05,0.352,
2002-06,0.357,
2002-07,0.359,
2002-08,0.348,
2002-09,0.348,
2002-10,0.349,
2002-11,0.348,
2002-12,0.375,
2003-01,0.347,
2003-02,0.385,
2003-03,0.364,
2003-04,0.361,
2003-05,0.359,
2003-06,0.361,
2003-07,0.365,
2003-08,0.364,
2003-09,0.337,
2003-10,0.337,
2003-11,0.334,
2003-12,0.299,
2004-01,0.293,
2004-02,0.281,
2004-03,0.257,
2004-04,0.241,
2004-05,0.255,
2004-06,0.265,
2004-07,0.263,
2004-08,0.252,
2004-09,0.255,
2004-10,0.254,
2004-11,0.278,
2004-12,0.275,
2005-01,0.287,
2005-02,0.284,
2005-03,0.287,
2005-04,0.310,
2005-05,0.309,
2005-06,0.295,
2005-07,0.313,
2005-08,0.298,
2005-09,0.297,
2005-10,0.288,
2005-11,0.290,
2005-12,0.279,
2006-01,0.272,
2006-02,0.268,
2006-03,0.276,
2006-04,0.285,
2006-05,0.286,
2006-06,0.282,
2006-07,0.286,
2006-08,0.282,
2006-09,0.245,
2006-10,0.252,
2006-11,0.256,
2006-12,0.265,
2007-01,0.267,
2007-02,0.225,
2007-03,0.232,
2007-04,0.237,
2007-05,0.233,
2007-06,0.230,
2007-07,0.238,
2007-08,0.370,
2007-09,0.393,
2007-10,0.405,
2007-11,0.406,
2007-12,0.410,
2008-01,0.420,
2008-02,0.417,
2008-03,0.417,
2008-04,0.420,
2008-05,0.422,
2008-06,0.427,
2008-07,0.437,
2008-08,0.421,
2008-09,0.420,
2008-10,0.407,
2008-11,0.428,
2008-12,0.445,
2009-01,0.463,
2009-02,0.475,
2009-03,0.492,
2009-04,0.498,
2009-05,0.520,
2009-06,0.522,
2009-07,0.494,
2009-08,0.498,
2009-09,0.492,
2009-10,0.497,
2009-11,0.494,
2009-12,0.458,
2010-01,0.471,
2010-02,0.466,
2010-03,0.458,
2010-04,0.478,
2010-05,0.488,
2010-06,0.468,
2010-07,0.492,
2010-08,0.486,
2010-09,0.456,
2010-10,0.448,
2010-11,0.448,
2010-12,0.441,
2011-01,0.419,
2011-02,0.425,
2011-03,0.622,
2011-04,0.620,
2011-05,0.621,
2011-06,0.755,
2011-07,0.761,
2011-08,0.789,
2011-09,0.823,
2011-10,0.865,
2011-11,0.807,
2011-12,0.757,
2012-01,0.765,
2012-02,0.769,
2012-03,0.753,
2012-04,0.758,
2012-05,1.070,
2012-06,1.091,
2012-07,1.206,
2012-08,1.104,
2012-09,1.117,
2012-10,1.095,
2012-11,1.101,
2012-12,1.065,
2013-01,1.086,
2013-02,1.091,
2013-03,1.090,
2013-04,1.069,
2013-05,0.999,
2013-06,0.785,
2013-07,0.789,
2013-08,0.788,
2013-09,0.790,
2013-10,0.798,
2013-11,0.800,
2013-12,0.819,
2014-01,0.826,
2014-02,0.879,
2014-03,0.944,
2014-04,0.973,
2014-05,0.987,
2014-06,1.053,
2014-07,1.056,
2014-08,1.057,
2014-09,1.053,
2014-10,1.219,
2014-11,1.248,
2014-12,1.261,
