"",BBK01.OXA8H4,BBK01.OXA8H4_FLAGS
"",Long-term loans (including bills of exchange) to domestic households - Other loans,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:01,
2002-12,219.091,
2003-01,226.665,
2003-02,231.179,
2003-03,220.759,
2003-04,222.623,
2003-05,222.988,
2003-06,222.663,
2003-07,223.662,
2003-08,233.812,
2003-09,243.849,
2003-10,242.023,
2003-11,241.831,
2003-12,241.004,
2004-01,240.154,
2004-02,240.597,
2004-03,244.033,
2004-04,243.830,
2004-05,243.560,
2004-06,239.604,
2004-07,239.668,
2004-08,239.092,
2004-09,236.726,
2004-10,237.664,
2004-11,236.506,
2004-12,239.256,
2005-01,238.423,
2005-02,237.888,
2005-03,236.150,
2005-04,237.012,
2005-05,237.009,
2005-06,235.788,
2005-07,235.666,
2005-08,236.363,
2005-09,235.878,
2005-10,235.179,
2005-11,235.530,
2005-12,234.988,
2006-01,235.011,
2006-02,234.614,
2006-03,232.421,
2006-04,232.854,
2006-05,232.886,
2006-06,231.909,
2006-07,231.247,
2006-08,230.304,
2006-09,230.354,
2006-10,229.938,
2006-11,229.866,
2006-12,228.519,
2007-01,227.553,
2007-02,227.258,
2007-03,226.582,
2007-04,225.661,
2007-05,225.269,
2007-06,224.506,
2007-07,223.802,
2007-08,223.911,
2007-09,222.306,
2007-10,221.625,
2007-11,221.185,
2007-12,219.846,
2008-01,219.607,
2008-02,219.296,
2008-03,217.761,
2008-04,217.832,
2008-05,217.185,
2008-06,216.801,
2008-07,217.018,
2008-08,217.193,
2008-09,215.579,
2008-10,216.063,
2008-11,215.784,
2008-12,214.319,
2009-01,213.696,
2009-02,213.718,
2009-03,212.069,
2009-04,213.281,
2009-05,213.397,
2009-06,213.018,
2009-07,213.343,
2009-08,213.672,
2009-09,211.999,
2009-10,212.337,
2009-11,212.744,
2009-12,212.310,
2010-01,211.920,
2010-02,211.885,
2010-03,211.599,
2010-04,211.677,
2010-05,212.056,
2010-06,212.122,
2010-07,212.593,
2010-08,213.484,
2010-09,213.124,
2010-10,213.331,
2010-11,213.578,
2010-12,212.991,
2011-01,212.526,
2011-02,212.799,
2011-03,211.745,
2011-04,212.334,
2011-05,212.818,
2011-06,211.979,
2011-07,212.652,
2011-08,212.915,
2011-09,212.695,
2011-10,212.606,
2011-11,214.216,
2011-12,213.187,
2012-01,213.401,
2012-02,213.389,
2012-03,212.855,
2012-04,215.856,
2012-05,216.242,
2012-06,215.876,
2012-07,216.266,
2012-08,217.025,
2012-09,216.886,
2012-10,217.486,
2012-11,218.326,
2012-12,216.982,
2013-01,216.750,
2013-02,216.961,
2013-03,216.049,
2013-04,216.383,
2013-05,216.722,
2013-06,216.065,
2013-07,216.377,
2013-08,216.931,
2013-09,218.472,
2013-10,218.844,
2013-11,219.880,
2013-12,218.541,
2014-01,218.839,
2014-02,219.049,
2014-03,217.815,
2014-04,218.208,
2014-05,218.807,
2014-06,217.802,
2014-07,218.349,
2014-08,218.717,
2014-09,217.487,
2014-10,217.279,
2014-11,218.424,
2014-12,218.295,Provisional value
