"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4Q.D.FL._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4Q.D.FL._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Interest on Loans / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:42,
1991-01,58.616,
1991-02,59.424,
1991-03,58.531,
1991-04,59.987,
1991-05,58.361,
1991-06,60.346,
1991-07,59.663,
1991-08,58.644,
1991-09,60.849,
1991-10,59.255,
1991-11,61.215,
1991-12,62.090,
1992-01,61.670,
1992-02,65.317,
1992-03,66.172,
1992-04,65.783,
1992-05,68.208,
1992-06,69.883,
1992-07,76.283,
1992-08,81.098,
1992-09,81.470,
1992-10,83.020,
1992-11,86.882,
1992-12,87.739,
1993-01,96.649,
1993-02,97.080,
1993-03,101.578,
1993-04,106.721,
1993-05,107.546,
1993-06,105.765,
1993-07,105.020,
1993-08,103.524,
1993-09,106.481,
1993-10,105.848,
1993-11,103.288,
1993-12,106.480,
1994-01,108.904,
1994-02,104.933,
1994-03,101.943,
1994-04,105.180,
1994-05,108.792,
1994-06,108.345,
1994-07,116.102,
1994-08,117.900,
1994-09,117.053,
1994-10,120.067,
1994-11,122.791,
1994-12,121.591,
1995-01,117.100,
1995-02,117.179,
1995-03,119.024,
1995-04,111.707,
1995-05,112.831,
1995-06,115.328,
1995-07,110.164,
1995-08,115.619,
1995-09,113.469,
1995-10,118.812,
1995-11,123.287,
1995-12,128.830,
1996-01,147.096,
1996-02,154.540,
1996-03,159.394,
1996-04,166.250,
1996-05,173.793,
1996-06,180.164,
1996-07,186.712,
1996-08,206.004,
1996-09,212.391,
1996-10,211.404,
1996-11,214.618,
1996-12,221.213,
1997-01,222.375,
1997-02,225.046,
1997-03,233.870,
1997-04,237.385,
1997-05,241.785,
1997-06,248.032,
1997-07,250.521,
1997-08,255.109,
1997-09,251.810,
1997-10,257.871,
1997-11,256.601,
1997-12,253.273,
1998-01,267.335,
1998-02,269.201,
1998-03,255.665,
1998-04,257.224,
1998-05,246.136,
1998-06,249.295,
1998-07,246.425,
1998-08,237.023,
1998-09,245.309,
1998-10,241.343,
1998-11,248.195,
1998-12,242.559,
1999-01,246.575,
1999-02,272.931,
1999-03,283.444,
1999-04,290.357,
1999-05,306.836,
1999-06,332.910,
1999-07,361.642,
1999-08,400.445,
1999-09,419.452,
1999-10,460.755,
1999-11,482.729,
1999-12,514.699,
2000-01,668.622,
2000-02,705.967,
2000-03,737.035,
2000-04,777.825,
2000-05,797.385,
2000-06,808.637,
2000-07,992.217,
2000-08,1008.454,
2000-09,1018.480,
2000-10,1083.735,
2000-11,1100.051,
2000-12,1105.037,
2001-01,1177.605,
2001-02,1179.872,
2001-03,1187.913,
2001-04,1237.306,
2001-05,1264.212,
2001-06,1254.338,
2001-07,1136.298,
2001-08,1210.177,
2001-09,1214.284,
2001-10,1164.077,
2001-11,1150.867,
2001-12,1202.372,
2002-01,1191.558,
2002-02,1209.857,
2002-03,1222.276,
2002-04,1186.316,
2002-05,1177.153,
2002-06,1279.780,
2002-07,1258.340,
2002-08,1239.272,
2002-09,1237.755,
2002-10,1214.859,
2002-11,1231.562,
2002-12,1211.892,
2003-01,1216.011,
2003-02,1180.753,
2003-03,1177.349,
2003-04,1180.248,
2003-05,1181.252,
2003-06,1116.929,
2003-07,1164.453,
2003-08,1151.727,
2003-09,1143.602,
2003-10,1155.603,
2003-11,1158.835,
2003-12,1174.830,
2004-01,1044.652,
2004-02,1032.230,
2004-03,1018.666,
2004-04,1004.914,
2004-05,994.257,
2004-06,999.407,
2004-07,963.238,
2004-08,970.451,
2004-09,982.270,
2004-10,972.968,
2004-11,978.624,
2004-12,959.032,
2005-01,934.732,
2005-02,958.748,
2005-03,968.814,
2005-04,970.364,
2005-05,985.274,
2005-06,982.488,
2005-07,1008.410,
2005-08,1015.825,
2005-09,1018.078,
2005-10,1038.949,
2005-11,1034.646,
2005-12,1053.257,
2006-01,1106.734,
2006-02,1097.409,
2006-03,1121.608,
2006-04,1148.231,
2006-05,1147.104,
2006-06,1160.782,
2006-07,1190.236,
2006-08,1185.784,
2006-09,1242.108,
2006-10,1268.438,
2006-11,1295.418,
2006-12,1324.733,
2007-01,1431.928,
2007-02,1458.657,
2007-03,1455.186,
2007-04,1466.115,
2007-05,1481.954,
2007-06,1504.118,
2007-07,1515.044,
2007-08,1500.084,
2007-09,1449.463,
2007-10,1453.988,
2007-11,1466.625,
2007-12,1447.030,
2008-01,1406.148,
2008-02,1403.462,
2008-03,1396.822,
2008-04,1374.489,
2008-05,1372.945,
2008-06,1355.947,
2008-07,1308.996,
2008-08,1291.510,
2008-09,1290.569,
2008-10,1276.591,
2008-11,1281.434,
2008-12,1294.162,
2009-01,1257.787,
2009-02,1299.609,
2009-03,1323.838,
2009-04,1335.546,
2009-05,1338.023,
2009-06,1317.730,
2009-07,1332.493,
2009-08,1348.678,
2009-09,1352.107,
2009-10,1357.897,
2009-11,1344.152,
2009-12,1385.193,
2010-01,1385.809,
2010-02,1509.404,
2010-03,1509.751,
2010-04,1520.824,
2010-05,1583.445,
2010-06,1609.271,
2010-07,1612.743,
2010-08,1622.241,
2010-09,1631.062,
2010-10,1652.933,
2010-11,1684.753,
2010-12,1671.634,
2011-01,1680.385,
2011-02,1572.695,
2011-03,1565.160,
2011-04,1563.946,
2011-05,1510.988,
2011-06,1526.168,
2011-07,1504.376,
2011-08,1490.812,
2011-09,1479.347,
2011-10,1472.100,
2011-11,1457.465,
2011-12,1437.445,
2012-01,1431.897,
2012-02,1426.453,
2012-03,1421.238,
2012-04,1424.334,
2012-05,1421.689,
2012-06,1385.364,
2012-07,1393.226,
2012-08,1430.642,
2012-09,1434.848,
2012-10,1430.708,
2012-11,1402.717,
2012-12,1417.927,
2013-01,1399.986,
2013-02,1394.722,
2013-03,1395.980,
2013-04,1447.670,
2013-05,1467.032,
2013-06,1383.160,
2013-07,1373.078,
2013-08,1371.456,
2013-09,1390.133,
2013-10,1392.760,
2013-11,1385.706,
2013-12,1402.548,
2014-01,1387.024,
2014-02,1371.669,Provisional value
2014-03,1403.584,Provisional value
2014-04,1407.756,Provisional value
2014-05,1396.248,Provisional value
2014-06,1393.615,Provisional value
2014-07,1401.706,Provisional value
2014-08,1383.286,Provisional value
2014-09,1379.502,
2014-10,1375.757,
2014-11,1380.913,
2014-12,1386.078,Provisional value
