"",BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:36,
1991-01,171.734,
1991-04,95.451,
1991-07,-6.030,
1991-10,-62.005,
1992-01,-4.672,
1992-04,180.200,
1992-07,-185.787,
1992-10,137.941,
1993-01,-151.693,
1993-04,261.087,
1993-07,-63.970,
1993-10,-66.957,
1994-01,90.711,
1994-04,-14.232,
1994-07,-10.422,
1994-10,-43.100,
1995-01,310.198,
1995-04,58.647,
1995-07,113.997,
1995-10,-202.590,
1996-01,15.126,
1996-04,63.205,
1996-07,105.375,
1996-10,-146.084,
1997-01,271.918,
1997-04,168.407,
1997-07,-90.326,
1997-10,-321.253,
1998-01,380.014,
1998-04,-155.297,
1998-07,258.085,
1998-10,-146.886,
1999-01,244.669,
1999-04,763.392,
1999-07,-429.040,
1999-10,-19.092,
2000-01,155.847,
2000-04,-47.058,
2000-07,310.745,
2000-10,-263.930,
2001-01,581.077,
2001-04,-181.023,
2001-07,-389.630,
2001-10,-471.023,
2002-01,-169.885,
2002-04,-543.567,
2002-07,387.928,
2002-10,-328.734,
2003-01,954.803,
2003-04,-3.438,
2003-07,-357.230,
2003-10,447.680,
2004-01,21.559,
2004-04,232.144,
2004-07,-271.604,
2004-10,-144.832,
2005-01,1278.725,
2005-04,2519.532,
2005-07,-792.808,
2005-10,2015.679,
2006-01,-1294.896,
2006-04,-508.657,
2006-07,-169.920,
2006-10,927.318,
2007-01,165.790,
2007-04,2642.506,
2007-07,-223.476,
2007-10,125.940,
2008-01,-223.523,
2008-04,244.486,
2008-07,2055.769,
2008-10,-1046.493,
2009-01,-86.754,
2009-04,870.296,
2009-07,-161.988,
2009-10,-255.179,
2010-01,1734.360,
2010-04,-75.329,
2010-07,251.009,
2010-10,1838.848,
2011-01,951.811,
2011-04,2532.183,
2011-07,-5591.579,
2011-10,1626.673,
2012-01,1172.783,
2012-04,108.468,
2012-07,-878.310,
2012-10,-543.121,
2013-01,-304.389,
2013-04,624.848,
2013-07,-1.161,
2013-10,-248.507,
2014-01,611.136,Provisional value
2014-04,437.711,Provisional value
2014-07,1514.811,Provisional value
2014-10,730.451,Provisional value
