"",BBK01.OEAB11S,BBK01.OEAB11S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:32,
2002-01,0.279,
2002-04,0.270,
2002-07,0.273,
2002-10,0.255,
2003-01,0.214,
2003-04,0.205,
2003-07,0.204,
2003-10,0.194,
2004-01,0.211,
2004-04,0.227,
2004-07,0.220,
2004-10,0.210,
2005-01,0.197,
2005-04,0.205,
2005-07,0.192,
2005-10,0.209,
2006-01,0.211,
2006-04,0.255,
2006-07,0.259,
2006-10,0.261,
2007-01,0.273,
2007-04,0.283,
2007-07,0.289,
2007-10,0.250,
2008-01,0.230,
2008-04,0.232,
2008-07,0.246,
2008-10,0.238,
2009-01,0.247,
2009-04,0.293,
2009-07,0.347,
2009-10,0.374,
2010-01,0.386,
2010-04,0.397,
2010-07,0.419,
2010-10,0.437,
2011-01,0.430,
2011-04,0.503,
2011-07,0.499,
2011-10,0.513,
2012-01,0.528,
2012-04,0.534,
2012-07,0.593,
2012-10,0.483,
2013-01,0.489,
2013-04,0.518,
2013-07,0.489,
2013-10,0.463,
2014-01,0.463,
2014-04,0.460,
2014-07,0.454,
